"lemmes","-","3","4","5"
"le",8092,2063,4546,4197
"de",5299,1269,2903,2653
"du",2152,616,1665,1488
"et",2261,565,1193,1149
"un",1290,369,734,734
"à",1339,296,695,689
"être",1002,280,661,580
"en",963,272,639,536
"@card@",654,316,598,322
"dans",643,199,428,394
"au",664,172,416,392
"ce",738,134,328,320
"(",378,152,397,388
")",378,151,395,388
"sur",681,110,266,214
"par",432,124,303,267
"que",504,106,249,236
"pouvoir",508,110,207,225
":",307,195,267,255
"se",411,113,263,237
"pour",496,88,202,203
"qui",357,85,277,260
"«",473,136,183,148
"»",474,135,184,147
"ou",418,97,208,217
"il",442,57,169,122
"son",309,51,197,172
"élève",442,47,61,70
"avec",260,59,145,126
"permettre",263,57,116,106
"leur",256,39,157,76
"thème",49,146,179,140
"avoir",169,65,120,120
"plus",131,47,153,131
"liberté",428,4,21,3
"faire",225,56,84,89
"étude",120,47,116,166
"ne",145,56,136,112
"comme",216,42,106,76
"elle",159,35,143,62
"/",58,90,134,110
"entre",146,42,75,125
"politique",155,64,101,66
"droit",321,15,22,10
"?",162,47,65,78
"on",63,47,123,108
"pas",109,49,97,74
"question",151,47,57,68
"mais",122,38,87,76
"tout",145,34,73,60
"autre",179,20,51,59
"grand",38,41,136,93
"celui",115,38,72,83
"professeur",252,3,18,27
"monde",31,51,102,110
"société",112,30,61,89
"mettre",108,28,79,75
"exemple",77,52,81,79
"expression",261,4,17,3
"devoir",138,24,58,58
"représentation",241,1,20,12
"développement",17,19,60,154
"siècle",41,15,103,91
"classe",138,37,37,38
"espace",13,74,103,59
"territoire",14,120,68,47
"comprendre",136,33,32,45
"aborder",87,50,46,58
"premier",88,41,63,47
"programme",78,37,65,58
"différent",113,29,51,44
"pays",14,11,88,122
"aussi",112,33,56,29
"la|le",102,29,52,46
"France",56,76,63,31
"ainsi",95,18,65,46
"mondial",6,58,102,50
"échelle",46,35,73,60
"temps",93,12,49,59
"social",79,18,59,54
"nouveau",61,44,70,35
"histoire",50,31,74,48
"européen",21,98,61,21
"lien",99,25,36,41
"travail",143,17,24,14
"démocratie",171,17,8,1
"loi",169,9,16,3
"français",66,73,45,10
"mondialisation",2,15,167,9
"culture",118,6,43,19
"national",99,21,52,13
"-",37,83,35,28
"deux",44,34,47,55
"cas",23,20,46,90
"discrimination",175,0,1,0
"ressource",78,7,20,70
"même",54,18,60,42
"égalité",158,6,7,2
"œuvre",16,21,87,48
"également",111,10,29,20
"partir",57,19,37,56
"travailler",130,12,17,9
"cadre",93,11,28,34
"vie",68,10,38,49
"notion",110,17,21,17
