lemmes,3,4,5
le,2063,4546,4197
de,1269,2903,2653
du,616,1665,1488
et,565,1193,1149
un,369,734,734
à,296,695,689
être,280,661,580
en,272,639,536
@card@,316,598,322
dans,199,428,394
au,172,416,392
ce,134,328,320
sur,110,266,214
par,124,303,267
que,106,249,236
pouvoir,110,207,225
se,113,263,237
pour,88,202,203
qui,85,277,260
ou,97,208,217
il,57,169,122
son,51,197,172
élève,47,61,70
avec,59,145,126
permettre,57,116,106
leur,39,157,76
thème,146,179,140
avoir,65,120,120
plus,47,153,131
liberté,4,21,3
faire,56,84,89
étude,47,116,166
ne,56,136,112
comme,42,106,76
elle,35,143,62
entre,42,75,125
politique,64,101,66
droit,15,22,10
on,47,123,108
pas,49,97,74
question,47,57,68
mais,38,87,76
tout,34,73,60
autre,20,51,59
grand,41,136,93
celui,38,72,83
professeur,3,18,27
monde,51,102,110
société,30,61,89
mettre,28,79,75
exemple,52,81,79
expression,4,17,3
devoir,24,58,58
représentation,1,20,12
développement,19,60,154
siècle,15,103,91
classe,37,37,38
espace,74,103,59
territoire,120,68,47
comprendre,33,32,45
aborder,50,46,58
premier,41,63,47
programme,37,65,58
différent,29,51,44
pays,11,88,122
aussi,33,56,29
la|le,29,52,46
France,76,63,31
ainsi,18,65,46
mondial,58,102,50
échelle,35,73,60
temps,12,49,59
social,18,59,54
nouveau,44,70,35
histoire,31,74,48
européen,98,61,21
lien,25,36,41
travail,17,24,14
démocratie,17,8,1
loi,9,16,3
français,73,45,10
mondialisation,15,167,9
culture,6,43,19
national,21,52,13
deux,34,47,55
cas,20,46,90
discrimination,0,1,0
ressource,7,20,70
même,18,60,42
égalité,6,7,2
œuvre,21,87,48
également,10,29,20
partir,19,37,56
travailler,12,17,9
cadre,11,28,34
vie,10,38,49
notion,17,21,17
notamment,18,40,32
mise,19,52,48
guerre,100,36,16
Europe,32,82,41
personne,2,12,5
place,26,50,27
citoyen,12,14,7
république,39,24,3
situation,7,27,28
économique,20,69,41
quel,34,34,38
forme,8,22,20
choisir,15,39,39
choix,13,45,52
art,29,63,34
dont,14,39,30
principe,6,17,2
femme,17,25,9
possible,13,33,27
contre,2,6,17
débat,8,28,7
lieu,18,56,32
site,23,30,15
action,4,11,13
donner,18,29,23
comment,18,23,41
puissance,31,77,17
prendre,12,32,26
groupe,2,23,6
enjeu,12,21,30
rôle,14,20,30
partie,38,30,22
compétence,12,16,15
réflexion,4,7,9
si,11,34,30
homme,5,23,25
étudier,24,31,22
agir,11,25,19
ensemble,16,31,23
population,15,18,62
éducation,5,8,32
séquence,3,2,0
violence,7,4,5
ville,14,57,44
certain,17,31,24
inégalité,17,22,47
sans,23,36,31
proposer,3,13,15
révolution,3,77,8
développer,12,18,33
année,27,40,9
États,16,47,41
montrer,20,21,42
lier,12,24,29
opinion,2,5,1
autour,5,16,28
problématique,12,20,45
idée,11,35,12
parcours,20,21,19
presse,2,19,3
bien,9,34,37
général,15,21,27
appuyer,4,20,19
travers,5,23,19
acteur,11,45,30
engagement,5,14,4
fait,8,30,20
valeur,6,10,8
lui,9,20,22
information,2,18,5
approche,11,31,43
relation,12,34,33
lequel,16,31,20
réseau,6,35,10
second,20,19,16
carte,19,47,30
évolution,22,11,22
point,15,21,23
construire,20,23,19
international,17,40,12
risque,4,4,78
poser,11,19,19
définir,1,8,7
racisme,0,2,0
géographie,24,30,36
diversité,2,13,15
représenter,1,6,10
fort,11,29,31
humain,4,22,37
porter,12,17,12
majeur,16,28,34
représentant,0,3,3
où,12,19,32
construction,28,15,14
urbain,23,40,28
pratique,12,28,26
quelque,9,44,28
effet,16,27,28
pédagogique,0,13,3
rapport,6,25,24
