  ;facteur;NA;
le;0.88;0.12
de;0.93;0.07
du;0.591;0.409
et;0.376;0.624
un;0.114;0.886
à;0.986;0.014
être;0.26;0.74
en;0.039;0.961
@card@;0.944;0.056
dans;0.242;0.758
au;0.952;0.048
ce;0.994;0.006
sur;0.087;0.913
par;0.415;0.585
que;0.994;0.006
pouvoir;0.17;0.83
se;0.707;0.293
pour;0.94;0.06
qui;0.747;0.253
ou;0.684;0.316
il;0.001;0.999
son;0.537;0.463
élève;0.131;0.869
avec;0.27;0.73
permettre;0.285;0.715
leur;0.061;0.939
thème;0.76;0.24
avoir;0.011;0.989
plus;0.443;0.557
liberté;0.219;0.781
faire;0.141;0.859
étude;0.874;0.126
ne;0.01;0.99
comme;0.242;0.758
elle;0.099;0.901
entre;0.577;0.423
politique;0.98;0.02
droit;0.999;0.001
on;0.46;0.54
pas;0.993;0.007
question;0.128;0.872
mais;0.027;0.973
tout;0.896;0.104
autre;0.965;0.035
grand;0.001;0.999
celui;0.335;0.665
professeur;1;0
monde;0.401;0.599
société;0.689;0.311
mettre;0.836;0.164
exemple;0.339;0.661
expression;0.286;0.714
devoir;0.998;0.002
représentation;0.166;0.834
développement;0.863;0.137
siècle;0.582;0.418
classe;0.459;0.541
espace;0.969;0.031
territoire;0.688;0.312
comprendre;0.095;0.905
aborder;0.247;0.753
premier;0.901;0.099
programme;0.622;0.378
différent;0.751;0.249
pays;0.986;0.014
aussi;0.991;0.009
la|le;0.665;0.335
France;0.84;0.16
ainsi;0.044;0.956
mondial;0.974;0.026
échelle;0.983;0.017
temps;0.985;0.015
social;0.673;0.327
nouveau;0.999;0.001
histoire;0.546;0.454
européen;0.821;0.179
lien;0.05;0.95
travail;0.969;0.031
démocratie;0.815;0.185
loi;0.915;0.085
français;0.852;0.148
mondialisation;0.121;0.879
culture;0;1
national;0.661;0.339
deux;0.049;0.951
cas;0.798;0.202
discrimination;0.059;0.941
ressource;0.821;0.179
même;0.008;0.992
égalité;0.988;0.012
œuvre;0.009;0.991
également;0.039;0.961
partir;0.645;0.355
travailler;0.986;0.014
cadre;0.944;0.056
vie;1;0
notion;0.729;0.271
notamment;0.68;0.32
mise;0.753;0.247
guerre;0.706;0.294
Europe;0.521;0.479
personne;0.014;0.986
place;0.932;0.068
citoyen;0.94;0.06
république;0.874;0.126
situation;0.888;0.112
économique;0.034;0.966
quel;0.352;0.648
forme;0.681;0.319
choisir;0.984;0.016
choix;0.99;0.01
art;0.786;0.214
dont;0.004;0.996
principe;0.578;0.422
femme;0.998;0.002
possible;0.009;0.991
contre;0.844;0.156
débat;0.356;0.644
lieu;0.141;0.859
site;0.973;0.027
action;0.987;0.013
donner;0.866;0.134
comment;0.2;0.8
puissance;0.663;0.337
prendre;0.051;0.949
groupe;0.021;0.979
enjeu;0.439;0.561
rôle;0.156;0.844
partie;0.709;0.291
compétence;0.521;0.479
réflexion;0.307;0.693
si;0.545;0.455
homme;0.907;0.093
étudier;0.854;0.146
agir;0.596;0.404
ensemble;0.996;0.004
population;0.554;0.446
éducation;0.701;0.299
séquence;0.918;0.082
violence;0.438;0.562
ville;0.242;0.758
certain;0.976;0.024
inégalité;0.372;0.628
sans;0.704;0.296
proposer;0.96;0.04
révolution;0.047;0.953
développer;0.424;0.576
année;0.987;0.013
États;0.483;0.517
montrer;0.108;0.892
lier;0.569;0.431
opinion;0.661;0.339
autour;0.927;0.073
problématique;0.623;0.377
idée;0.368;0.632
parcours;0.594;0.406
presse;0.083;0.917
bien;0.942;0.058
général;0.003;0.997
appuyer;0.714;0.286
travers;0.427;0.573
acteur;0.036;0.964
engagement;0.528;0.472
fait;0.013;0.987
valeur;0.877;0.123
lui;0.812;0.188
information;0.031;0.969
approche;0.948;0.052
relation;0.889;0.111
lequel;0.961;0.039
réseau;0.091;0.909
second;0.654;0.346
carte;0.459;0.541
évolution;0.172;0.828
point;0.143;0.857
construire;0.694;0.306
international;0.703;0.297
risque;0.736;0.264
poser;0.109;0.891
définir;0.568;0.432
racisme;0.059;0.941
géographie;0.096;0.904
diversité;0.917;0.083
représenter;0.995;0.005
fort;1;0
humain;0.991;0.009
porter;0.899;0.101
majeur;0.21;0.79
représentant;0.722;0.278
où;0.428;0.572
construction;0.59;0.41
urbain;0.994;0.006
pratique;0.962;0.038
quelque;0.048;0.952
effet;0.046;0.954
pédagogique;0.001;0.999
rapport;0.752;0.248
dimension;0.35;0.65
culturel;0.088;0.912
projet;0.842;0.158
identifier;0.066;0.934
alors;0.509;0.491
terme;0.864;0.136
identité;0.61;0.39
sous;0.198;0.802
sein;0.611;0.389
respect;0.103;0.897
métropole;0.481;0.519
principal;0.494;0.506
crise;0.943;0.057
présenter;0.331;0.669
selon;0.391;0.609
État;0.949;0.051
objectif;0.037;0.963
démocratique;0.762;0.238
démarche;0.2;0.8
http;0.951;0.049
collège;0.238;0.762
séance;0.059;0.941
non;0.008;0.992
y;0.042;0.958
important;0.019;0.981
capacité;0;1
heure;0.055;0.945
encore;0.147;0.853
période;0.167;0.833
local;0.656;0.344
dynamique;0.873;0.127
nombreux;0.57;0.43
entrée;0.274;0.726
document;0.301;0.699
Afrique;0.514;0.486
règle;0.722;0.278
article;0.103;0.897
religieux;0.955;0.045
très;0.718;0.282
aller;0.018;0.982
fin;0.516;0.484
souligner;0.003;0.997
proposition;0.059;0.941
enseignement;0.725;0.275
constituer;0.519;0.481
contexte;0.019;0.981
depuis;0.95;0.05
chacun;0.992;0.008
consacrer;0.25;0.75
région;0.843;0.157
n;0.232;0.768
croissance;0.964;0.036
organisation;0.001;0.999
durable;0.751;0.249
production;0.246;0.754
fois;0.862;0.138
cela;0.009;0.991
particulier;0.263;0.737
élection;0.99;0.01
connaître;0.207;0.793
pourquoi;0.913;0.087
sens|sen;0.372;0.628
moins;0.619;0.381
vote;0.999;0.001
occasion;0.897;0.103
part;0.931;0.069
caractère;0.281;0.719
lutte;1;0
trois;0.694;0.306
afin;0.727;0.273
voir;0.046;0.954
mode;0.963;0.037
collectif;0.532;0.468
publique;1;0
manière;0.014;0.986
façon;0.141;0.859
amener;0.013;0.987
pauvreté;0.906;0.094
limite;0.046;0.954
fr;0.689;0.311
organiser;0.116;0.884
fondamental;0.769;0.231
définition;0.189;0.811
plusieurs;0.028;0.972
donc;0.71;0.29
réfléchir;0.733;0.267
réaliser;0.99;0.01
face;0.012;0.988
perspective;0.184;0.816
condition;0.621;0.379
troisième;0.853;0.147
texte;0.114;0.886
interroger;0.695;0.305
activité;0.966;0.034
démographique;0.802;0.198
médias;0.293;0.707
vers;0.989;0.011
éviter;0;1
association;0.239;0.761
tel;0.853;0.147
image;0.021;0.979
universel;0.998;0.002
finalité;0.605;0.395
autrui;0.059;0.941
moyen;0.994;0.006
régime;0.96;0.04
rendre;0.99;0.01
devenir;0.42;0.58
origine;0.413;0.587
spatial;0.941;0.059
analyser;0.07;0.93
notre;0.201;0.799
conflit;0.315;0.685
Histoire;0.316;0.684
aujourd'hui;0.961;0.039
flux;0.039;0.961
conduire;0.576;0.424
www;0.821;0.179
objet;0.978;0.022
cur;0.346;0.654
ordre;0.995;0.005
conquête;0.997;0.003
exprimer;0.018;0.982
global;0.77;0.23
analyse;0.093;0.907
différence;0.055;0.945
support;0.105;0.895
particulièrement;0.472;0.528
régional;0.862;0.138
évidence;0.999;0.001
empire;0.825;0.175
expliquer;0.517;0.483
pauvre;0.978;0.022
vivre;0.035;0.965
suffrage;0.771;0.229
loin;0.98;0.02
engager;0.011;0.989
intérêt;0.164;0.836
mobilité;0.67;0.33
aménagement;0.562;0.438
niveau;0.979;0.021
stéréotype;0.605;0.395
essentiel;0.82;0.18
documentation;0.681;0.319
Louis;0.892;0.108
justice;0.021;0.979
mener;0.297;0.703
dignité;0.774;0.226
mobiliser;1;0
système;0.876;0.124
changement;0.857;0.143
individu;0.692;0.308
parmi;0.63;0.37
nombre;0.989;0.011
santé;0.703;0.297
respecter;0.01;0.99
inviter;0.184;0.816
civique;0.653;0.347
avant;0.281;0.719
connaissance;0.685;0.315
maritime;0.212;0.788
XIXe;0.101;0.899
mesure;0.964;0.036
la;0.16;0.84
utiliser;0.996;0.004
nécessaire;0.536;0.464
domaine;0.84;0.16
union;0.603;0.397
école;0.995;0.005
colonial;0.107;0.893
échange;0.025;0.975
aspect;0.516;0.484
marquer;0.992;0.008
affaire;0.231;0.769
élément;0.009;0.991
souvent;0.809;0.191
territorial;0.304;0.696
chaque;0.572;0.428
exercice;0.49;0.51
antisémitisme;0.774;0.226
concret;0.018;0.982
puis;0.323;0.677
nation;0.009;0.991
individuel;0.468;0.532
conscience;0.964;0.036
importance;0.949;0.051
savoir;0.439;0.561
dossier;0.704;0.296
roi;0.977;0.023
historique;0.277;0.723
ensuite;0.319;0.681
traite;0.001;0.999
traiter;0.712;0.288
critique;0.199;0.801
responsabilité;0.976;0.024
participer;0.047;0.953
États-Unis;0.265;0.735
dernier;0.236;0.764
source;0.97;0.03
industriel;0.094;0.906
technologique;0.129;0.871
accès;0.708;0.292
prise;0.972;0.028
établissement;0.581;0.419
numérique;0.535;0.465
évoquer;0.295;0.705
photographique;0.994;0.006
peuple;0.268;0.732
enfin;0.998;0.002
mouvement;0.334;0.666
environnement;0.45;0.55
lors;0.041;0.959
professionnel;0.979;0.021
moral;0.997;0.003
penser;0.593;0.407
après;0.933;0.067
commun;0.533;0.467
début;0.568;0.432
cycle;0.002;0.998
exercer;0.697;0.303
repère;0.89;0.11
EMC;0.733;0.267
phénomène;0.017;0.983
transformation;0.965;0.035
lumière;0.058;0.942
science;0.323;0.677
limiter;0.888;0.112
confronter;0.251;0.749
compte;0.141;0.859
inscrire;0.053;0.947
fonctionnement;0.739;0.261
lycée;0.871;0.129
reposer;0.046;0.954
environ;0.441;0.559
XVIIIe;0.038;0.962
envisager;0.967;0.033
offrir;0.141;0.859
seul;0.871;0.129
cause;0.016;0.984
sujet;0.987;0.013
religion;1;0
jusque;0.001;0.999
inégal;0.982;0.018
public;0.677;0.323
militaire;0.323;0.677
représentatif;0.571;0.429
républicain;0.754;0.246
cependant;0.033;0.967
réalité;0.986;0.014
considérer;0.001;0.999
chercher;0.98;0.02
écrire;0.99;0.01
commerce;0.01;0.99
besoin;0.788;0.212
paysage;0.018;0.982
fonder;0.045;0.955
divers;0.954;0.046
récit;0.777;0.223
personnel;0.343;0.657
fonction;0.843;0.157
concerner;0.069;0.931
handicap;0.059;0.941
tension;0.61;0.39
Paris;0.741;0.259
abord;0.866;0.134
centre;0.332;0.668
eux;0.155;0.845
alimentaire;0.787;0.213
trouver;0.934;0.066
agricole;0.614;0.386
mieux;0.946;0.054
prévention;0.774;0.226
processus;0.476;0.524
entreprise;0.047;0.953
riche;0.997;0.003
acquérir;0.162;0.838
moment;0.093;0.907
5e;0.769;0.231
répondre;0.091;0.909
eau;0.774;0.226
parfois;0.694;0.306
citoyenneté;0.853;0.147
cours|cour;0.953;0.047
raison;0.631;0.369
rester;0.129;0.871
communauté;0.722;0.278

