"le";-0.0148;0.07188;-0.00547;0.01536
"de";-0.02174;0.09797;0.00597;0.01154
"du";-0.05958;0.40655;0.04962;0.44072
"et";-0.01993;0.03507;-0.02567;0.09099
"un";-0.01749;0.01707;-0.04885;0.20816
"à";-0.06446;0.21207;-0.00769;0.00472
"être";-0.01377;0.00877;0.02323;0.03899
"en";0.00659;0.00191;0.03279;0.0739
"@card@";0.24898;2.32801;0.06038;0.214
"dans";-0.00608;0.00115;-0.01076;0.00561
"au";-0.05115;0.0779;0.01151;0.00616
"ce";-0.06948;0.11469;0.00554;0.00114
"sur";0.01541;0.00426;0.04987;0.06968
"par";-0.0256;0.01382;0.03038;0.03043
"que";-0.04519;0.03666;0.00341;0.00033
"pouvoir";-0.03661;0.02207;-0.08086;0.16833
"se";-0.02088;0.00812;0.01344;0.00526
"pour";-0.06376;0.06089;-0.01611;0.00607
"qui";-0.12704;0.30501;0.07389;0.16129
"ou";-0.05975;0.05661;-0.0406;0.04086
"il";0.00292;9e-05;0.1255;0.26031
"son";-0.13499;0.23252;0.1253;0.31318
"élève";0.07369;0.02936;-0.19013;0.3056
"avec";-0.02137;0.00458;0.03516;0.01937
"permettre";0.01453;0.00179;-0.02304;0.00703
"leur";0.07616;0.04793;0.29815;1.14836
"thème";0.26808;1.01533;-0.15051;0.50028
"avoir";0.00706;0.00046;-0.06773;0.06644
"plus";-0.08889;0.07947;0.09961;0.15598
"liberté";0.31715;0.08557;0.5983;0.47605
"faire";0.05474;0.02085;-0.13513;0.1986
"étude";-0.24039;0.57761;-0.09122;0.13004
"ne";0.00449;0.00019;0.04533;0.02967
"comme";0.04965;0.01678;0.08796;0.08231
"elle";0.10892;0.08651;0.32881;1.23242
"entre";-0.21718;0.34678;-0.18596;0.39746
"politique";0.24152;0.40938;-0.03489;0.01335
"droit";0.39871;0.227;-0.00975;0.00021
"on";-0.0434;0.01591;0.04701;0.02918
"pas";0.09966;0.06639;0.00815;0.00069
"question";0.08276;0.03579;-0.21595;0.38096
"mais";-0.00279;5e-05;0.01685;0.00271
"tout";0.04257;0.0092;0.01449;0.00167
"autre";-0.15492;0.09479;-0.02971;0.00545
"grand";-0.00404;0.00013;0.16491;0.34872
"celui";-0.06544;0.02511;-0.09215;0.07784
"professeur";-0.42639;0.26514;0.00187;1e-05
"monde";-0.05277;0.02225;-0.06451;0.05198
"société";-0.19517;0.20831;-0.13105;0.14682
"mettre";-0.09634;0.05132;0.04274;0.01579
"exemple";0.07816;0.03935;-0.10915;0.11995
"expression";0.32312;0.07613;0.50995;0.29643
"devoir";-0.07651;0.0249;-0.00344;8e-05
"représentation";-0.18937;0.03595;0.42449;0.28242
"développement";-0.53968;2.06181;-0.21482;0.51069
"siècle";-0.23601;0.3537;0.20005;0.39724
"classe";0.23582;0.18924;-0.25627;0.34935
"espace";0.33919;0.82493;-0.06088;0.04154
"territoire";0.66616;3.16847;-0.44901;2.2502
"comprendre";0.09833;0.03231;-0.30423;0.48357
"aborder";0.17604;0.14499;-0.30736;0.69097
"premier";0.19847;0.18071;-0.06587;0.03112
"programme";0.0741;0.02669;-0.05774;0.02533
"différent";0.08826;0.02935;-0.05076;0.01518
"pays";-0.4283;1.23169;0.05069;0.02697
"aussi";0.30096;0.32472;0.02815;0.00444
"la|le";0.07073;0.0193;-0.05023;0.01522
"France";0.60806;1.90972;-0.26519;0.56781
"ainsi";-0.03713;0.0054;0.17351;0.18446
"mondial";0.30719;0.60209;0.04982;0.02476
"échelle";0.05175;0.01367;0.00678;0.00037
"temps";-0.27815;0.28207;0.03441;0.00675
"social";-0.11794;0.05536;0.08214;0.04197
"nouveau";0.33658;0.51284;0.00931;0.00061
"histoire";0.10521;0.05145;0.09589;0.06681
"européen";0.82713;3.74143;-0.38588;1.27299
"lien";0.03679;0.00419;-0.15957;0.12336
"travail";0.32699;0.17867;-0.058;0.00879
"démocratie";1.07941;0.92038;-0.5138;0.326
"loi";0.54986;0.2572;0.16802;0.03754
"français";0.91491;3.25525;-0.38134;0.88406
"mondialisation";0.31753;0.58508;0.85744;6.66939
"culture";0.00429;4e-05;0.43103;0.60003
"national";0.38744;0.39222;0.27777;0.31514
"deux";0.03974;0.00652;-0.17564;0.19926
"cas";-0.361;0.61767;-0.18147;0.244
"discrimination";0.28129;0.0024;1.12843;0.06048
"ressource";-0.63707;1.19608;-0.29754;0.40787
"même";-0.01425;0.00074;0.15973;0.14541
"égalité";0.61551;0.17265;-0.06675;0.00317
"œuvre";0.02506;0.00298;0.2702;0.54095
"également";0.02661;0.00127;0.13188;0.04873
"partir";-0.19908;0.13487;-0.14786;0.11629
"travailler";0.36055;0.15009;-0.04342;0.0034
"cadre";-0.17575;0.0685;-0.04276;0.00634
"vie";-0.29304;0.25308;0.00356;6e-05
"notion";0.25047;0.10483;-0.15264;0.06086
"notamment";0.04312;0.00508;0.02961;0.00375
"mise";-0.07651;0.02117;0.04386;0.01087
"guerre";0.99097;4.53509;-0.63946;2.95204
"Europe";0.17924;0.1513;0.17202;0.21784
"personne";0.04928;0.0014;0.4182;0.15782
"place";0.2425;0.18402;0.06537;0.0209
"citoyen";0.45759;0.20993;-0.11582;0.02103
"république";0.98758;1.95574;-0.37428;0.43913
"situation";-0.20514;0.07927;0.07282;0.01561
"économique";0.03933;0.00611;0.21052;0.27364
"quel";0.19636;0.12418;-0.26645;0.35743
"forme";-0.07136;0.00774;0.04888;0.00567
"choisir";-0.09683;0.02649;0.01219;0.00066
"choix";-0.22789;0.17356;0.02346;0.00288
"art";0.20267;0.15724;0.10566;0.06681
"dont";-0.00597;9e-05;0.09487;0.03548
"principe";0.48182;0.17633;0.41132;0.20089
"femme";0.46811;0.33954;0.01905;0.00088
"possible";-0.00552;7e-05;0.0576;0.0115
"contre";-0.56843;0.24542;-0.24416;0.07078
"débat";0.29536;0.11397;0.39768;0.32299
"lieu";0.07907;0.02013;0.19547;0.19236
"site";0.41261;0.35173;-0.06931;0.01551
"action";-0.18389;0.02877;-0.02135;0.00061
"donner";0.15544;0.05139;-0.06126;0.01248
"comment";-0.1341;0.0448;-0.26802;0.27977
"puissance";0.41368;0.64993;0.29489;0.51626
"prendre";-0.01638;0.00057;0.07092;0.01672
"groupe";0.09384;0.00829;0.63716;0.59773
"enjeu";-0.13853;0.03673;-0.15675;0.07352
"rôle";-0.09125;0.01619;-0.21196;0.13657
"partie";0.48859;0.65276;-0.31307;0.41897
"compétence";0.15558;0.03162;-0.14926;0.0455
"réflexion";-0.08938;0.00485;-0.13425;0.01712
"si";-0.08874;0.01794;0.08101;0.02338
"homme";-0.25751;0.10678;0.0827;0.01722
"étudier";0.28665;0.19222;-0.11834;0.05121
"agir";0.05729;0.00548;0.04714;0.0058
"ensemble";0.11821;0.02972;0.00758;0.00019
"population";-0.42852;0.53001;-0.38437;0.6666
"éducation";-0.57153;0.44659;-0.3731;0.29752
"séquence";1.0632;0.17172;-0.31733;0.02391
"violence";0.41303;0.08293;-0.46796;0.16642
"ville";-0.09682;0.03276;0.17125;0.16018
"certain";0.12135;0.03221;-0.01885;0.00121
"inégalité";-0.22781;0.1356;-0.2961;0.35812
"sans";0.1311;0.047;-0.08498;0.03087
"proposer";-0.27142;0.06938;0.05571;0.00457
"révolution";0.19818;0.10501;0.88855;3.29987
"développer";-0.20534;0.0807;-0.23937;0.17144
"année";0.57813;0.77176;0.06693;0.01617
"États";-0.07129;0.01606;0.07372;0.02684
"montrer";-0.11459;0.03311;-0.33016;0.42972
"lier";-0.10403;0.02137;-0.09051;0.02529
"opinion";0.43172;0.0453;0.30915;0.03631
"autour";-0.38739;0.22341;-0.10889;0.0276
"problématique";-0.33549;0.26332;-0.26107;0.24926
"idée";0.23819;0.09998;0.31246;0.26895
"parcours";0.27143;0.13431;-0.22419;0.14324
"presse";0.21452;0.03356;0.71075;0.57583
"bien";-0.22094;0.11865;0.0549;0.01145
"général";-0.00967;0.00018;-0.18887;0.10673
"appuyer";-0.21737;0.06173;0.13764;0.03869
"travers";-0.1472;0.03094;0.17069;0.06504
"acteur";-0.04141;0.00448;0.21498;0.18878
