  ;facteur;NA;NA;NA;NA;
le;0.656;0.001;0.002;0.224;0.117
de;0.81;0.133;0;0.055;0.001
du;0.618;0;0.291;0.043;0.049
et;0.034;0.894;0.053;0.018;0.001
un;0.143;0.037;0.781;0.016;0.022
à;0.655;0.143;0.009;0.008;0.184
être;0.006;0.652;0.29;0.052;0
en;0.097;0.541;0.324;0.034;0.004
@card@;0.157;0.81;0.008;0.012;0.013
dans;0.015;0.158;0.072;0.67;0.086
au;0.079;0.805;0.095;0.007;0.015
ce;0.102;0.858;0.021;0.014;0.006
sur;0.024;0.647;0.001;0.275;0.052
par;0.341;0.106;0.176;0.364;0.014
que;0.523;0.262;0.054;0.105;0.056
pouvoir;0.017;0.039;0.408;0.374;0.162
:;0.045;0.537;0.364;0.011;0.043
se;0;0.321;0.039;0.14;0.5
pour;0.374;0.54;0.074;0;0.012
qui;0.671;0.001;0.198;0.102;0.028
ou;0.195;0.049;0.173;0.044;0.54
il;0;0.002;0.309;0.403;0.285
son;0.653;0.052;0.164;0.04;0.091
élève;0.317;0.452;0.121;0.093;0.016
avec;0.036;0.429;0.032;0.286;0.217
permettre;0.221;0.579;0.002;0.197;0.002
leur;0;0.098;0.898;0;0.004
thème;0.737;0.102;0.081;0.08;0
avoir;0.227;0.562;0.153;0.054;0.003
plus;0.344;0.013;0.237;0.118;0.288
liberté;0.17;0.001;0.783;0.046;0.001
faire;0.14;0.022;0.692;0.1;0.047
étude;0.302;0.229;0.053;0.147;0.27
ne;0.107;0.079;0.235;0.151;0.429
comme;0.047;0.018;0.735;0.091;0.109
elle;0.003;0.061;0.772;0.035;0.128
entre;0.296;0.304;0.221;0.068;0.11
politique;0.534;0.241;0.003;0.22;0.003
droit;0.494;0.02;0.107;0.196;0.183
on;0.003;0.291;0.101;0.079;0.527
pas;0.044;0.012;0.159;0.468;0.318
question;0.206;0.006;0.433;0.053;0.302
mais;0.01;0.416;0.177;0.119;0.278
tout;0.004;0.662;0;0.063;0.271
autre;0.532;0.32;0.041;0.066;0.042
grand;0.007;0.021;0.34;0.033;0.599
celui;0.007;0.554;0.253;0.08;0.106
professeur;0.657;0.199;0.021;0.043;0.079
monde;0.001;0.639;0;0.338;0.021
société;0.058;0.107;0.389;0.427;0.019
mettre;0.017;0.862;0.103;0.018;0
exemple;0.005;0.224;0.025;0.595;0.151
expression;0.008;0.774;0.137;0.045;0.036
devoir;0.168;0.052;0.004;0.299;0.478
représentation;0.306;0.047;0.515;0.063;0.069
développement;0.589;0.104;0.234;0;0.073
siècle;0.471;0.049;0.185;0.202;0.093
classe;0.482;0.453;0.041;0.021;0.002
espace;0.752;0.1;0.014;0.098;0.036
