"le";-0.02202;0.15245;0.00104;0.00037;0.00113;0.00062;-0.01287;0.13193;-0.0093;0.08777
"de";-0.03107;0.19164;0.0126;0.0341;0.00058;1e-04;0.00809;0.03291;-0.00131;0.0011
"du";-0.08325;0.76004;2e-05;0;-0.05713;0.55885;-0.02184;0.13258;-0.02348;0.19494
"et";0.01399;0.01655;-0.07171;0.47065;0.01754;0.04064;0.01005;0.02162;0.0027;0.002
"un";-0.02245;0.02695;0.01147;0.00761;0.05242;0.22935;-0.00758;0.00778;-0.00876;0.01324
"à";-0.06336;0.19625;-0.02955;0.04621;0.00762;0.00443;0.00711;0.00627;-0.03359;0.17792
"être";0.00657;0.00191;-0.06884;0.22699;-0.04589;0.14548;-0.0195;0.04263;0.00093;0.00012
"en";0.03287;0.04548;-0.07769;0.275;-0.06013;0.23765;-0.01934;0.03988;0.00695;0.00655
"@card@";0.13329;0.63886;0.30272;3.56649;-0.02959;0.04916;0.03675;0.12303;-0.03889;0.17543
"dans";-0.00962;0.00275;-0.03161;0.03212;-0.02132;0.02108;-0.06509;0.31887;-0.02326;0.05185
"au";-0.02633;0.01977;-0.08402;0.21781;-0.02881;0.03696;-0.00783;0.00443;-0.01134;0.01182
"ce";-0.03436;0.02686;-0.09969;0.24471;-0.01566;0.00871;0.01254;0.00907;-0.00799;0.00468
"sur";-0.02115;0.00768;0.10912;0.22122;-0.00522;0.00073;0.07108;0.21974;0.03108;0.05348
"par";-0.06719;0.09116;0.03745;0.03064;-0.04824;0.07337;-0.06941;0.24646;-0.01354;0.01194
"que";-0.04481;0.03452;-0.03175;0.01875;-0.01438;0.00555;-0.02011;0.01762;-0.01461;0.01183
"pouvoir";0.02862;0.01291;-0.04295;0.03148;0.13989;0.48181;0.13386;0.71587;0.08812;0.39496
":";0.07496;0.11721;0.25759;1.4981;0.21209;1.4652;0.03619;0.06921;0.07323;0.36079
"se";-0.00156;4e-05;-0.0676;0.0882;-0.02352;0.01541;0.04455;0.08968;-0.08428;0.4086
"pour";-0.1449;0.30115;0.17402;0.47011;0.06434;0.09271;-0.0046;0.00077;0.02567;0.03049
"qui";-0.16921;0.51815;-0.00701;0.00096;-0.09191;0.2387;-0.06603;0.19988;-0.03444;0.06924
"ou";-0.06583;0.06581;0.03286;0.01775;0.06208;0.09138;-0.03118;0.0374;0.10964;0.58886
"il";-0.00383;0.00015;-0.00982;0.00106;-0.11021;0.192;0.12596;0.40701;-0.10583;0.36576
