lemme,3_2015,3_2025,4_2015,4_2025,5_2015,5_2025
le,454,1609,2858,1688,2563,1634
de,307,962,1828,1075,1606,1047
du,118,498,1086,579,938,550
et,108,457,697,496,655,494
un,91,278,464,270,444,290
à,61,235,447,248,407,282
être,43,237,391,270,346,234
en,39,233,370,269,317,219
@card@,111,205,419,179,208,114
dans,32,167,267,161,248,146
au,26,146,250,166,230,162
ce,21,113,195,133,183,137
sur,38,72,170,96,129,85
par,25,99,199,104,179,88
que,20,86,156,93,144,92
pouvoir,37,73,109,98,116,109
:,82,113,172,95,163,92
se,18,95,169,94,126,111
pour,35,53,142,60,138,65
qui,12,73,188,89,174,86
ou,30,67,120,88,144,73
il,11,46,113,56,60,62
son,13,38,142,55,106,66
élève,6,41,26,35,23,47
avec,7,52,89,56,56,70
permettre,5,52,47,69,33,73
leur,7,32,100,57,53,23
thème,30,116,76,103,43,97
avoir,12,53,67,53,63,57
plus,11,36,91,62,94,37
liberté,0,4,12,9,1,2
faire,16,40,53,31,47,42
étude,8,39,56,60,114,52
ne,9,47,96,40,72,40
comme,5,37,67,39,47,29
elle,4,31,100,43,35,27
entre,4,38,51,24,74,51
politique,14,50,63,38,46,20
droit,0,15,14,8,6,4
on,7,40,59,64,71,37
pas,5,44,67,30,50,24
question,17,30,20,37,36,32
mais,1,37,55,32,44,32
tout,11,23,45,28,42,18
autre,9,11,37,14,45,14
grand,11,30,72,64,69,24
celui,7,31,39,33,50,33
professeur,1,2,10,8,16,11
monde,3,48,59,43,68,42
société,12,18,33,28,41,48
mettre,2,26,44,35,41,34
exemple,10,42,61,20,59,20
expression,3,1,15,2,3,0
devoir,5,19,32,26,40,18
représentation,0,1,13,7,11,1
développement,9,10,32,28,97,57
siècle,5,10,61,42,53,38
classe,2,35,5,32,7,31
espace,7,67,41,62,35,24
territoire,26,94,36,32,12,35
comprendre,3,30,10,22,22,23
aborder,7,43,15,31,28,30
premier,5,36,30,33,18,29
programme,8,29,44,21,46,12
différent,2,27,26,25,24,20
pays,1,10,77,11,93,29
aussi,3,30,27,29,13,16
la|le,8,21,36,16,31,15
France,22,54,32,31,16,15
ainsi,4,14,34,31,21,25
mondial,16,42,64,38,29,21
échelle,3,32,39,34,26,34
temps,2,10,42,7,44,15
social,0,18,35,24,40,14
nouveau,3,41,50,20,17,18
histoire,13,18,66,8,38,10
européen,17,81,34,27,12,9
lien,4,21,14,22,18,23
travail,10,7,9,15,8,6
démocratie,0,17,1,7,0,1
loi,0,9,1,15,2,1
français,21,52,24,21,6,4
mondialisation,0,15,104,63,1,8
culture,2,4,31,12,11,8
national,4,17,40,12,9,4
deux,4,30,34,13,42,13
cas,2,18,22,24,68,22
discrimination,0,0,0,1,0,0
ressource,3,4,7,13,28,42
même,8,10,45,15,24,18
égalité,1,5,3,4,2,0
œuvre,7,14,80,7,35,13
également,2,8,18,11,12,8
partir,3,16,19,18,34,22
travailler,2,10,4,13,1,8
cadre,2,9,12,16,19,15
vie,7,3,28,10,33,16
