  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
 3_2015_Geo;0;0.191;0.057;0.486;0.027;0.01;0;0.053;0.007;0.01
 3_2015_His;0.151;0;0.065;0.246;0.12;0.2;0.008;0.025;0.046;0.022
 3_2025_Geo;0.107;0.506;0.022;0.093;0.101;0.046;0.018;0.004;0.045;0.006
 3_2025_His;0.196;0.005;0.43;0;0.162;0.056;0.088;0.034;0.02;0.001
 4_2015_Geo;0.217;0.041;0.14;0.244;0.237;0;0.007;0.052;0.06;0
 4_2015_His;0.566;0.023;0.124;0.009;0.003;0.021;0.087;0.093;0.014;0.059
 4_2025_Geo;0.289;0.258;0;0.111;0.001;0.031;0.014;0.096;0.194;0.001
 4_2025_His;0.247;0.002;0.297;0.024;0.004;0.196;0.082;0.059;0.038;0.052
 5_2015_Geo;0.368;0.381;0.007;0.038;0.017;0.069;0.092;0.005;0.018;0.001
 5_2015_His;0.192;0.022;0.25;0.038;0.162;0.031;0.063;0.001;0.004;0.202
 5_2025_Geo;0.427;0.126;0.105;0.047;0.049;0.087;0.124;0.002;0.026;0.001
 5_2025_His;0.11;0.001;0.017;0.079;0.266;0.045;0.071;0.216;0.014;0.177

