  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
le;0.609;0.107;0.027;0;0.093;0.032;0.081;0.009;0.027;0.003
de;0.15;0.067;0.371;0.058;0.032;0.143;0.008;0.008;0.024;0.001
du;0.154;0.096;0.296;0.181;0.001;0.063;0.012;0.025;0.122;0.006
et;0;0.044;0.018;0.057;0.281;0.421;0.002;0.077;0.001;0.063
un;0.025;0.313;0.009;0.089;0.116;0.317;0.007;0;0.019;0.071
à;0.748;0.108;0.006;0.001;0.006;0.009;0.001;0.028;0.053;0.02
être;0.249;0.008;0.062;0.105;0.16;0.114;0.037;0.008;0.049;0.043
en;0.016;0.006;0.343;0.069;0.019;0.242;0.019;0.03;0.047;0.203
@card@;0.656;0.01;0.004;0.042;0.261;0;0.002;0.001;0;0.024
dans;0.003;0.09;0.082;0.115;0.051;0.056;0.391;0.148;0.007;0.055
au;0.122;0.147;0.171;0.359;0.133;0.002;0.004;0.045;0;0.018
ce;0.098;0.015;0.002;0.273;0.154;0.08;0.074;0.28;0;0.016
sur;0.009;0;0.159;0.115;0.217;0.011;0.259;0.189;0;0.009
par;0.083;0.015;0.22;0.266;0.031;0.088;0.152;0.137;0.002;0.002
que;0.488;0.109;0.008;0.194;0;0.089;0.075;0;0;0.002
pouvoir;0.093;0.027;0;0.011;0.246;0.084;0.001;0.227;0.168;0.004
se;0.187;0.009;0.026;0.227;0.066;0.001;0.009;0.281;0.147;0.026
pour;0.041;0.122;0.452;0.282;0.002;0.057;0.008;0.02;0.011;0.004
qui;0.392;0.072;0.149;0.116;0.185;0.043;0.022;0.004;0.009;0.006
ou;0.56;0.044;0.18;0.039;0.024;0.006;0.002;0.009;0.03;0.101
il;0.426;0.041;0.011;0;0.055;0.057;0.111;0;0.004;0.282
son;0.422;0.007;0.238;0.079;0.195;0.003;0.007;0.004;0.027;0.007
élève;0.055;0.169;0.283;0.005;0.237;0.209;0.023;0;0.007;0.001
avec;0.049;0.078;0.016;0.02;0.518;0.001;0.015;0.003;0;0.296
permettre;0.017;0.015;0.608;0.009;0.125;0.002;0.13;0.083;0.001;0
leur;0.157;0.14;0.176;0.274;0.067;0.005;0.09;0.041;0.002;0.033
thème;0.029;0.251;0.538;0.05;0.002;0.033;0.001;0.031;0.014;0.033
avoir;0.254;0.011;0.324;0.006;0.036;0.053;0.066;0.104;0.023;0.122
plus;0.091;0.005;0.185;0.128;0.035;0.086;0.12;0.032;0.271;0.048
liberté;0.498;0.023;0.119;0.005;0.01;0.183;0.126;0.01;0.002;0.024
faire;0.457;0.028;0.006;0.161;0.131;0.002;0.042;0.147;0;0.024
étude;0.495;0.207;0.002;0.006;0.023;0.02;0.041;0.037;0.115;0.049
ne;0.648;0.072;0.003;0.005;0.056;0.037;0.003;0.104;0.006;0.056
comme;0.254;0.001;0.03;0.108;0;0.204;0.017;0.068;0.126;0.087
elle;0.164;0.042;0.058;0.376;0.068;0.025;0.083;0.015;0.035;0.132
entre;0.126;0.051;0.004;0;0.204;0.031;0.33;0.038;0.001;0.098
politique;0.553;0.001;0.061;0.075;0.01;0.011;0.016;0.034;0.027;0.121
droit;0.513;0.006;0.243;0.028;0.072;0.001;0.025;0.034;0.039;0.003
on;0.032;0.034;0.121;0.24;0.026;0.031;0.122;0;0.365;0
pas;0.515;0.006;0.005;0.006;0.033;0.035;0.02;0.309;0.03;0.029
question;0.036;0.01;0.294;0.358;0.04;0;0.034;0.093;0.044;0.074
mais;0.006;0.02;0.07;0.359;0;0.134;0.113;0.128;0.155;0.005
tout;0.136;0.009;0.104;0;0.136;0.02;0.003;0.004;0.063;0.208
autre;0.135;0.045;0.336;0.008;0.093;0.009;0.024;0.081;0.003;0.191
grand;0.181;0.199;0.198;0.125;0.003;0.005;0.003;0.044;0.219;0.01
celui;0.263;0.025;0.036;0;0.302;0;0.001;0.033;0.001;0.271
professeur;0.105;0.021;0.059;0;0.226;0.125;0.092;0.056;0.001;0.129
monde;0.168;0.013;0.017;0.358;0.073;0.027;0.308;0.032;0;0.002
société;0.01;0.464;0.178;0.074;0.022;0.106;0.058;0.021;0.029;0.006
mettre;0.2;0.186;0.351;0.072;0.015;0.018;0.045;0.043;0.007;0.049
exemple;0.039;0.118;0.15;0;0.008;0.045;0.121;0.055;0.288;0.169
expression;0.305;0.004;0.362;0.014;0.087;0.003;0.158;0.035;0.018;0.013
devoir;0.372;0.157;0.021;0.003;0.086;0.219;0.008;0;0.044;0.087
représentation;0.268;0.003;0.215;0.111;0.074;0.001;0.019;0.153;0.005;0.076
développement;0.657;0.253;0.001;0.071;0.005;0;0.002;0;0.007;0
siècle;0.674;0.037;0.008;0.044;0.165;0.008;0.004;0.029;0.01;0.007
classe;0.018;0.134;0.749;0;0.052;0.023;0;0.01;0.01;0.001
espace;0.363;0.499;0.001;0.004;0.037;0.013;0;0.062;0.007;0.002
territoire;0.211;0.514;0;0.171;0.037;0.022;0;0.005;0.04;0
comprendre;0.001;0.108;0.348;0.01;0.279;0;0.092;0.009;0.005;0.023
aborder;0.04;0.016;0.694;0.023;0.003;0.032;0.123;0.001;0.026;0
premier;0.145;0.043;0.708;0.005;0.001;0.061;0.008;0.001;0.001;0.001
programme;0.011;0.03;0.013;0.209;0.029;0.096;0.1;0.413;0.024;0.073
différent;0.297;0.223;0.217;0.02;0.011;0;0.037;0.131;0.006;0.045
pays;0.526;0.155;0.028;0.011;0.185;0.034;0.011;0.018;0.028;0.001
aussi;0.079;0.17;0.513;0.001;0.005;0.074;0.08;0.008;0.017;0.031
la|le;0.741;0.027;0.02;0.047;0.014;0;0.093;0.004;0;0.006
France;0.125;0.271;0.051;0.342;0.002;0.14;0.002;0.042;0.004;0
ainsi;0.031;0.002;0.145;0.234;0.096;0;0.057;0.099;0.156;0.154
mondial;0.312;0.096;0;0.026;0.459;0.104;0;0;0.001;0.001
échelle;0.838;0.109;0.001;0.002;0.001;0.004;0.031;0.002;0.009;0
temps;0.267;0.179;0.248;0.04;0.064;0.001;0.024;0.006;0.1;0.055
social;0.072;0.141;0.008;0.232;0.011;0.002;0.007;0.106;0.016;0.207
nouveau;0.243;0.175;0.103;0.084;0.066;0.006;0.03;0.017;0.235;0.041
