lemme,3_2015_Geo,3_2015_His,3_2025_Geo,3_2025_His,4_2015_Geo,4_2015_His,4_2025_Geo,4_2025_His,5_2015_Geo,5_2015_His,5_2025_Geo,5_2025_His
le,179,275,774,835,1072,1786,748,940,1368,1195,712,922
de,96,211,475,487,721,1107,528,547,862,744,459,588
du,53,65,259,239,466,620,290,289,517,421,280,270
et,36,72,221,236,267,430,281,215,298,357,247,247
un,26,65,122,156,192,272,129,141,254,190,154,136
à,24,37,129,106,211,236,125,123,261,146,150,132
être,9,34,121,116,128,263,117,153,196,150,79,155
en,21,18,104,129,144,226,126,143,211,106,93,126
@card@,36,75,28,177,111,308,27,152,117,91,20,94
dans,12,20,73,94,106,161,78,83,148,100,62,84
au,9,17,70,76,101,149,82,84,132,98,77,85
ce,10,11,66,47,95,100,61,72,103,80,51,86
sur,17,21,37,35,75,95,41,55,74,55,46,39
par,5,20,39,60,81,118,61,43,90,89,32,56
que,5,15,24,62,57,99,40,53,66,78,33,59
pouvoir,8,29,47,26,37,72,44,54,52,64,35,74
se,9,9,44,51,74,95,34,60,57,69,40,71
pour,15,20,31,22,47,95,24,36,82,56,27,38
qui,2,10,38,35,55,133,32,57,73,101,22,64
ou,12,18,55,12,62,58,62,26,82,62,48,25
il,4,7,21,25,26,87,18,38,35,25,22,40
son,4,9,21,17,41,101,20,35,24,82,18,48
élève,3,3,23,18,10,16,22,13,6,17,27,20
avec,5,2,31,21,23,66,31,25,26,30,25,45
permettre,1,4,29,23,20,27,25,44,19,14,39,34
leur,0,7,22,10,59,41,41,16,24,29,16,7
thème,17,13,50,66,25,51,46,57,23,20,41,56
avoir,6,6,22,31,19,48,16,37,39,24,17,40
plus,5,6,18,18,41,50,39,23,62,32,9,28
liberté,0,0,0,4,0,12,0,9,1,0,0,2
faire,7,9,21,19,13,40,9,22,21,26,12,30
étude,2,6,24,15,25,31,35,25,79,35,33,19
ne,2,7,19,28,12,84,12,28,36,36,10,30
comme,0,5,20,17,28,39,7,32,22,25,11,18
elle,1,3,12,19,41,59,21,22,16,19,6,21
entre,1,3,27,11,22,29,13,11,51,23,15,36
politique,1,13,22,28,11,52,5,33,19,27,11,9
droit,0,0,0,15,2,12,0,8,1,5,0,4
on,0,7,13,27,25,34,29,35,45,26,8,29
pas,1,4,19,25,9,58,12,18,25,25,7,17
question,8,9,13,17,9,11,10,27,27,9,24,8
mais,1,0,19,18,31,24,11,21,25,19,10,22
tout,1,10,11,12,19,26,12,16,22,20,7,11
autre,1,8,8,3,26,11,7,7,25,20,8,6
grand,6,5,21,9,39,33,47,17,37,32,8,16
celui,0,7,18,13,10,29,8,25,19,31,14,19
professeur,1,0,2,0,3,7,7,1,4,12,10,1
monde,1,2,17,31,48,11,28,15,41,27,12,30
société,0,12,0,18,9,24,8,20,35,6,31,17
mettre,1,1,11,15,17,27,17,18,28,13,19,15
exemple,5,5,29,13,38,23,7,13,27,32,9,11
expression,1,2,0,1,4,11,1,1,0,3,0,0
devoir,2,3,10,9,16,16,11,15,28,12,11,7
représentation,0,0,0,1,2,11,4,3,1,10,0,1
développement,5,4,9,1,26,6,21,7,91,6,55,2
siècle,1,4,0,10,1,60,2,40,3,50,1,37
classe,1,1,17,18,3,2,15,17,5,2,15,16
espace,7,0,61,6,28,13,55,7,25,10,17,7
territoire,26,0,94,0,32,4,31,1,9,3,28,7
comprendre,0,3,19,11,2,8,9,13,11,11,8,15
aborder,1,6,17,26,3,12,12,19,18,10,11,19
premier,2,3,11,25,9,21,13,20,7,11,14,15
programme,4,4,13,16,7,37,13,8,34,12,5,7
différent,2,0,14,13,12,14,17,8,16,8,10,10
pays,1,0,5,5,74,3,7,4,91,2,29,0
aussi,1,2,16,14,8,19,9,20,6,7,9,7
la|le,2,6,8,13,9,27,5,11,16,15,3,12
France,17,5,35,19,2,30,1,30,7,9,2,13
ainsi,2,2,3,11,18,16,15,16,16,5,10,15
mondial,6,10,12,30,60,4,36,2,27,2,19,2
échelle,3,0,30,2,39,0,33,1,26,0,31,3
temps,0,2,3,7,12,30,0,7,14,30,5,10
social,0,0,2,16,14,21,10,14,16,24,9,5
nouveau,1,2,15,26,21,29,8,12,5,12,4,14
histoire,4,9,5,13,3,63,4,4,2,36,3,7
européen,13,4,59,22,3,31,2,25,2,10,0,9
lien,3,1,14,7,8,6,18,4,8,10,10,13
travail,4,6,6,1,4,5,5,10,3,5,2,4
démocratie,0,0,0,17,0,1,0,7,0,0,1,0
loi,0,0,0,9,0,1,0,15,1,1,0,1
français,13,8,32,20,2,22,3,18,1,5,1,3
mondialisation,0,0,14,1,101,3,58,5,1,0,3,5
culture,0,2,4,0,11,20,4,8,6,5,1,7
national,4,0,14,3,10,30,4,8,8,1,1,3
deux,1,3,7,23,5,29,9,4,31,11,5,8
cas,2,0,14,4,19,3,22,2,66,2,20,2
discrimination,0,0,0,0,0,0,1,0,0,0,0,0
ressource,3,0,0,4,4,3,11,2,27,1,39,3
même,6,2,5,5,12,33,5,10,12,12,2,16
égalité,1,0,2,3,0,3,0,4,2,0,0,0
œuvre,0,7,7,7,8,72,4,3,10,25,9,4
également,0,2,5,3,13,5,3,8,11,1,4,4
partir,1,2,6,10,5,14,3,15,18,16,6,16
travailler,1,1,6,4,1,3,5,8,0,1,5,3
cadre,2,0,3,6,5,7,12,4,15,4,3,12
vie,1,6,1,2,5,23,4,6,16,17,11,5
notion,0,3,6,8,2,5,12,2,3,3,7,4
notamment,2,1,12,3,5,17,15,3,5,18,5,4
mise,2,1,10,6,18,21,9,4,29,5,6,8
guerre,0,26,0,74,1,28,1,6,0,9,0,7
Europe,2,1,6,23,6,49,9,18,10,9,3,19
personne,0,0,2,0,1,1,6,4,3,1,1,0
place,0,0,9,17,6,22,6,16,6,9,4,8
citoyen,0,0,6,6,1,4,4,5,1,0,5,1
république,0,4,1,34,0,6,0,18,1,1,0,1
situation,0,1,5,1,13,7,2,5,21,1,5,1
économique,0,0,10,10,25,11,18,15,17,6,14,4
quel,1,1,15,17,4,4,13,13,11,2,13,12
forme,2,1,4,1,7,7,6,2,9,7,3,1
choisir,1,0,11,3,9,17,10,3,21,12,4,2
choix,2,0,7,4,16,12,13,4,28,4,19,1
art,6,18,3,2,0,57,4,2,0,29,1,4
dont,1,2,4,7,10,15,8,6,10,14,2,4
principe,0,1,2,3,1,8,1,7,0,2,0,0
femme,0,0,0,17,0,5,1,19,7,1,1,0
possible,0,1,9,3,4,17,6,6,11,5,8,3
contre,0,0,0,2,0,4,0,2,4,5,4,4
débat,0,2,4,2,15,2,1,10,1,2,3,1
lieu,3,10,4,1,15,14,21,6,4,10,2,16
site,12,6,1,4,7,22,1,0,13,2,0,0
action,0,0,4,0,4,5,0,2,3,9,0,1
donner,1,7,5,5,4,12,6,7,11,4,2,6
comment,0,0,9,9,6,2,6,9,16,2,9,14
puissance,5,1,5,20,35,23,14,5,5,6,3,3
prendre,0,2,4,6,8,18,3,3,12,8,3,3
groupe,0,0,1,1,11,7,1,4,0,4,0,2
enjeu,1,2,3,6,5,2,12,2,18,1,9,2
rôle,3,0,2,9,8,5,3,4,9,13,4,4
partie,13,16,5,4,4,22,0,4,6,10,3,3
compétence,0,0,4,8,3,0,6,7,1,0,6,8
réflexion,0,3,0,1,0,4,1,2,2,3,3,1
si,1,2,5,3,3,20,5,6,10,6,4,10
homme,0,0,0,5,6,6,2,9,9,10,3,3
étudier,4,5,12,3,2,8,15,6,4,5,6,7
agir,1,0,4,6,11,6,3,5,10,5,2,2
ensemble,0,2,9,5,10,4,9,8,8,4,5,6
population,2,0,9,4,10,2,5,1,33,5,16,8
éducation,2,0,0,3,0,3,3,2,25,0,4,3
séquence,1,0,0,2,1,0,1,0,0,0,0,0
violence,0,3,0,4,0,4,0,0,0,4,0,1
ville,4,0,10,0,10,7,38,2,23,14,2,5
certain,0,2,12,3,11,5,10,5,10,4,4,6
inégalité,0,0,17,0,10,5,7,0,30,0,17,0
sans,2,4,9,8,11,16,5,4,5,16,2,8
proposer,1,0,2,0,3,5,4,1,9,2,2,2
révolution,0,1,0,2,0,47,0,30,1,1,5,1
développer,4,1,3,4,8,5,1,4,19,4,8,2
année,0,6,0,21,9,15,1,15,4,0,1,4
États,1,2,6,7,30,5,8,4,17,5,16,3
montrer,0,1,11,8,4,6,5,6,16,7,10,9
lier,0,2,8,2,6,3,10,5,16,3,5,5
opinion,0,1,0,1,1,4,0,0,1,0,0,0
autour,0,1,4,0,7,4,2,3,5,11,6,6
problématique,1,0,7,4,8,5,4,3,23,12,4,6
idée,1,2,1,7,7,19,1,8,3,5,0,4
parcours,0,1,8,11,0,2,12,7,0,1,9,9
presse,0,1,0,1,7,4,0,8,0,2,1,0
bien,0,0,7,2,5,8,7,14,11,9,8,9
général,2,2,2,9,3,11,2,5,6,8,6,7
appuyer,0,1,0,3,9,4,3,4,2,6,4,7
travers,0,2,3,0,7,11,4,1,7,9,1,2
acteur,0,1,6,4,21,9,9,6,12,3,13,2
engagement,0,3,0,2,0,9,4,1,0,0,4,0
fait,1,1,2,4,5,13,5,7,1,9,5,5
valeur,0,0,2,4,1,2,2,5,1,4,0,3
lui,4,1,0,4,4,10,2,4,3,8,0,11
information,0,0,1,1,10,0,7,1,1,1,2,1
approche,3,1,5,2,6,11,7,7,16,12,10,5
relation,0,2,5,5,3,21,9,1,5,17,3,8
lequel,0,1,8,7,10,11,4,6,7,6,3,4
réseau,1,0,5,0,15,0,20,0,5,5,0,0
second,1,5,2,12,2,4,2,11,2,2,6,6
carte,3,3,12,1,5,29,11,2,10,7,11,2
évolution,0,4,6,12,2,4,1,4,6,2,8,6
point,0,5,4,6,7,4,4,6,4,7,6,6
construire,3,4,8,5,0,12,5,6,2,4,7,6
international,1,5,4,7,20,3,8,9,8,1,3,0
risque,0,1,2,1,2,1,1,0,41,1,36,0
poser,0,0,6,5,3,4,7,5,4,2,8,5
définir,0,0,1,0,3,4,1,0,0,4,1,2
racisme,0,0,0,0,0,1,0,1,0,0,0,0
géographie,10,0,11,3,18,1,9,2,26,0,6,4
diversité,0,0,2,0,7,2,3,1,2,5,4,4
représenter,0,0,1,0,2,1,2,1,5,4,0,1
fort,1,0,6,4,8,5,10,6,9,1,13,8
humain,0,1,3,0,10,1,9,2,21,2,14,0
porter,3,1,5,3,6,6,3,2,7,2,3,0
majeur,0,1,8,7,14,1,10,3,13,3,12,6
représentant,0,0,0,0,0,3,0,0,0,1,1,1
où,2,1,2,7,2,6,2,9,13,7,6,6
construction,1,2,12,13,5,7,3,0,0,9,2,3
urbain,4,0,19,0,9,7,23,1,7,11,3,7
pratique,0,1,6,5,6,2,15,5,7,6,7,6
quelque,0,3,6,0,13,14,12,5,7,14,5,2
effet,1,0,11,4,18,2,4,3,12,1,11,4
pédagogique,0,0,0,0,2,11,0,0,2,1,0,0
rapport,0,1,1,4,5,17,1,2,7,7,3,7
dimension,1,0,6,2,4,14,5,0,4,6,4,1
culturel,0,1,5,6,25,9,8,5,3,10,1,8
projet,2,0,6,7,3,9,2,1,2,4,1,2
identifier,1,1,0,0,8,3,8,1,2,1,6,2
alors,2,1,1,6,2,9,4,9,6,5,2,3
terme,0,0,5,3,4,2,5,8,7,2,8,8
identité,0,0,2,0,3,1,1,0,0,2,0,0
sous,3,3,4,2,6,9,4,3,8,7,2,8
sein,0,0,8,1,12,4,2,0,7,4,3,9
respect,0,0,0,0,1,1,0,0,1,0,0,0
métropole,4,1,12,1,38,1,22,0,1,0,2,0
principal,3,0,10,4,2,4,12,4,4,3,9,5
crise,0,0,1,30,3,17,5,4,2,3,1,2
présenter,1,4,4,0,1,6,1,5,1,8,1,3
selon,0,0,3,0,15,4,3,1,8,6,4,0
État,0,0,1,6,10,4,1,4,4,11,2,8
objectif,0,0,5,0,0,3,1,0,6,1,0,0
démocratique,0,0,2,11,1,0,0,3,0,0,0,0
démarche,0,0,10,1,5,1,3,4,8,0,5,2
http,13,11,0,0,6,27,0,0,19,1,0,0
collège,1,1,2,0,1,0,0,0,1,1,0,1
séance,0,0,0,0,0,1,0,0,0,0,0,0
non,5,0,3,7,1,1,3,2,10,6,3,2
y,1,1,6,5,4,10,0,6,11,4,4,3
important,0,1,2,2,6,3,2,6,6,0,1,5
capacité,0,4,4,1,10,4,3,0,5,1,11,0
heure,0,0,0,1,6,0,0,0,0,2,0,0
encore,1,1,4,2,12,3,6,9,3,1,4,5
période,0,1,0,7,0,23,0,11,0,3,1,21
local,1,0,9,1,9,5,3,5,9,3,12,7
dynamique,4,0,20,2,9,5,17,0,6,1,4,9
nombreux,0,2,2,3,5,13,5,3,7,6,2,8
entrée,2,1,1,7,3,5,2,4,2,1,5,7
document,4,10,5,4,0,9,3,1,1,9,5,5
Afrique,0,0,0,2,5,13,18,6,16,15,2,2
règle,0,0,0,0,1,1,1,0,1,2,0,0
article,0,0,0,0,0,2,0,4,1,1,1,0
religieux,0,0,0,0,7,5,1,4,0,30,0,20
très,0,1,2,1,11,5,11,3,13,9,4,3
aller,3,7,2,0,10,18,0,2,13,9,0,2
fin,0,2,1,9,6,9,3,4,4,10,0,6
souligner,0,2,4,2,9,2,3,0,6,1,6,2
proposition,0,0,0,0,0,1,0,0,0,0,0,0
enseignement,1,0,7,5,0,2,9,8,3,0,6,7
constituer,1,1,3,5,12,5,5,3,4,4,4,2
contexte,0,3,1,5,4,20,6,1,11,7,1,0
depuis,0,3,1,12,8,10,6,6,5,6,2,3
chacun,0,6,2,1,1,10,1,1,0,1,2,0
consacrer,0,0,1,2,10,18,0,4,11,9,0,2
région,8,0,19,0,13,1,9,3,10,3,2,0
n,6,8,0,0,5,12,0,0,4,15,0,0
croissance,0,0,0,0,9,2,4,5,13,0,34,8
organisation,6,0,5,0,10,6,9,1,5,13,2,2
durable,1,0,4,2,2,0,9,3,24,1,19,3
production,0,4,1,3,13,3,1,2,10,1,3,1
fois,1,0,4,6,6,9,2,7,5,7,1,8
cela,0,0,4,3,1,4,0,2,3,4,1,3
particulier,1,1,5,1,5,2,3,5,7,2,2,6
élection,0,0,0,5,0,1,0,6,0,1,0,0
connaître,1,1,2,2,1,4,4,9,4,2,0,4
pourquoi,0,0,7,3,0,5,4,3,0,0,3,4
sens|sen,0,2,4,2,4,20,1,0,1,7,1,0
moins,0,0,4,2,5,7,6,2,6,4,3,5
vote,0,0,0,13,0,2,0,12,0,0,0,0
occasion,0,2,10,1,1,6,10,3,0,3,11,1
part,0,2,2,0,9,10,2,3,10,8,6,4
caractère,0,2,2,0,2,3,0,0,2,2,2,4
lutte,0,0,0,0,0,2,0,3,1,3,3,2
trois,0,5,2,1,6,15,1,2,6,7,2,7
afin,0,0,4,0,2,3,3,1,1,1,3,0
voir,0,0,0,6,1,10,1,8,2,4,0,6
mode,0,0,2,1,6,3,3,0,6,4,9,2
collectif,0,0,0,1,1,3,0,3,1,2,2,1
publique,1,1,5,0,2,7,0,1,3,0,1,0
manière,0,0,3,9,5,2,6,6,5,5,8,3
façon,0,1,0,0,2,0,0,0,0,1,0,1
amener,0,0,0,1,4,2,3,2,2,0,3,0
pauvreté,0,0,0,0,11,0,2,0,37,0,17,1
limite,1,0,1,2,0,0,0,2,0,0,2,3
fr,11,10,0,0,3,18,0,0,13,4,0,0
organiser,0,0,3,1,6,3,0,2,5,3,0,1
fondamental,0,0,0,4,3,1,0,3,1,2,2,1
définition,0,0,2,0,0,1,0,0,2,2,0,1
plusieurs,1,0,4,1,7,8,10,2,1,2,7,3
donc,0,1,1,3,2,7,0,1,4,7,4,3
réfléchir,0,0,3,0,1,3,1,2,0,0,0,0
réaliser,2,1,2,4,4,6,4,0,1,0,2,2
face,0,1,4,5,3,4,2,2,6,1,9,2
perspective,4,1,6,2,8,4,4,1,15,4,8,2
condition,0,3,0,0,0,6,4,11,13,1,5,0
troisième,7,9,4,6,0,5,0,8,0,0,0,0
texte,0,6,0,1,0,8,1,1,0,8,1,2
interroger,2,3,2,3,2,2,6,1,3,1,5,0
activité,1,0,6,0,10,2,3,3,8,10,3,0
démographique,0,0,1,0,1,0,4,0,22,0,33,3
médias,0,0,0,0,2,0,1,0,2,0,0,0
vers,0,0,2,5,6,4,4,9,12,9,3,2
éviter,3,7,6,3,1,0,3,3,12,10,3,3
association,0,0,0,0,1,2,1,4,4,0,1,0
tel,1,0,2,1,3,7,1,0,1,15,1,7
image,0,3,1,1,5,16,3,1,3,7,2,3
universel,0,0,2,5,0,1,0,10,4,1,0,0
finalité,0,1,1,0,0,0,0,0,0,0,0,0
autrui,0,0,0,0,0,1,0,0,0,0,0,0
moyen,0,1,2,0,5,2,7,2,7,14,0,5
régime,0,7,0,14,0,10,0,7,0,0,0,0
rendre,0,1,2,5,2,13,4,0,3,8,2,6
devenir,0,0,1,5,5,12,3,4,6,3,1,10
origine,0,0,1,2,9,4,3,4,4,10,1,1
spatial,2,0,14,0,10,0,20,0,5,0,7,3
analyser,0,1,2,4,1,0,3,2,2,1,8,3
notre,0,0,2,5,0,0,0,4,1,0,1,5
conflit,0,2,0,24,0,3,7,3,9,5,2,5
Histoire,2,16,0,0,0,17,0,0,0,16,0,4
aujourd'hui,0,1,3,0,3,2,4,3,8,4,3,2
flux,0,0,0,0,32,0,24,0,2,0,1,0
conduire,1,0,3,4,9,5,4,1,7,0,3,2
www,9,13,0,0,3,19,0,0,10,4,0,0
objet,1,2,2,1,2,3,1,2,1,2,0,1
cur,0,0,1,1,3,5,5,0,0,4,1,5
ordre,0,0,1,2,2,10,1,5,4,14,0,7
conquête,0,0,0,3,1,8,0,4,2,15,1,1
exprimer,0,0,2,0,0,3,1,1,1,2,1,0
global,0,1,1,4,9,2,2,0,4,3,28,1
analyse,1,0,6,1,7,0,7,0,8,1,5,2
différence,0,0,1,0,1,3,1,1,0,0,1,1
support,1,2,0,1,2,23,0,0,0,16,0,0
particulièrement,4,1,7,1,2,4,4,4,7,0,4,3
régional,6,0,15,0,9,0,12,1,5,1,6,1
évidence,0,0,1,1,5,2,5,1,10,1,8,2
empire,0,0,0,3,1,6,0,3,0,11,0,33
expliquer,0,3,0,1,2,3,0,2,1,1,4,5
pauvre,0,0,0,0,16,0,1,0,39,0,3,0
vivre,0,0,3,4,1,2,3,0,2,8,0,0
suffrage,0,0,0,5,0,1,0,10,0,0,0,0
loin,3,4,1,0,8,13,0,0,11,9,0,1
engager,1,0,0,0,1,7,1,0,1,0,1,1
intérêt,0,1,1,2,2,11,1,2,1,2,2,1
mobilité,0,0,15,0,10,0,28,0,2,0,1,0
aménagement,7,0,33,0,2,0,5,0,3,1,5,0
niveau,0,0,0,1,7,1,2,2,18,0,8,0
stéréotype,0,1,0,0,0,0,0,0,0,0,0,0
essentiel,0,0,1,1,3,2,1,0,16,5,2,1
documentation,6,8,0,1,13,9,0,0,6,13,0,0
Louis,0,1,0,0,0,23,0,2,0,13,0,17
justice,0,0,1,0,0,3,2,0,1,0,0,2
mener,0,1,1,2,2,0,1,3,0,1,4,1
dignité,0,0,0,0,0,0,0,0,0,0,0,1
mobiliser,0,0,4,1,5,1,4,0,2,0,5,1
système,1,1,2,3,3,7,2,5,10,9,3,1
changement,0,0,2,1,2,4,2,3,2,0,32,2
individu,0,0,1,4,0,5,1,0,1,3,0,1
parmi,0,2,5,2,7,7,4,3,6,6,0,1
nombre,0,0,1,1,5,3,3,1,14,1,5,1
santé,0,0,2,0,0,0,0,0,33,0,5,0
respecter,0,0,0,0,1,1,1,0,1,0,0,0
%,0,0,0,0,14,11,2,1,15,9,1,1
inviter,0,0,2,1,7,6,2,1,1,1,1,0
civique,2,0,4,1,1,1,4,0,2,1,2,0
avant,0,1,1,2,3,3,1,5,0,2,0,4
connaissance,0,3,1,1,3,0,0,4,4,1,1,0
maritime,0,0,6,2,5,6,19,8,5,2,0,1
XIXe,0,0,0,2,0,13,1,18,1,0,0,0
mesure,0,0,0,2,3,4,0,3,9,1,2,0
la,0,0,1,0,1,7,1,4,0,7,0,1
utiliser,0,1,0,2,2,3,2,3,5,3,4,1
nécessaire,0,0,3,0,1,2,0,2,3,1,4,1
domaine,1,0,8,0,6,5,1,1,1,5,2,2
union,6,1,33,6,1,0,0,0,1,0,0,0
école,0,0,0,0,0,0,0,6,7,2,0,1
colonial,0,0,0,3,0,22,0,25,0,0,1,0
échange,0,0,3,0,6,10,8,4,2,5,0,7
aspect,4,2,4,5,3,4,2,4,3,4,1,5
marquer,0,2,0,5,5,6,3,7,5,3,4,11
affaire,0,0,2,1,6,6,2,4,0,0,0,1
élément,1,0,1,1,10,1,1,1,2,4,2,0
souvent,0,0,3,1,6,4,4,4,7,3,3,5
territorial,4,0,13,0,2,3,8,0,2,5,8,2
chaque,0,0,1,2,1,5,3,0,4,3,0,1
exercice,1,0,0,2,0,2,0,1,0,1,0,2
antisémitisme,0,0,0,0,0,0,0,0,0,1,0,0
concret,0,2,7,1,2,2,2,3,3,9,3,3
puis,0,1,1,1,0,12,0,2,0,7,1,3
nation,0,0,1,2,4,11,0,4,8,0,0,2
individuel,0,0,2,0,1,3,0,3,2,1,2,1
conscience,0,0,0,1,2,1,1,1,2,2,1,1
importance,0,0,2,0,3,1,1,3,3,1,6,5
savoir,0,2,0,2,0,6,1,0,6,1,0,3
dossier,3,3,0,0,7,7,0,0,4,1,0,0
roi,0,0,0,0,0,13,0,1,0,16,0,19
historique,2,0,1,4,1,16,3,2,1,5,3,1
ensuite,0,0,0,1,2,3,0,6,0,2,1,5
traite,0,0,0,0,0,18,0,23,0,9,0,0
traiter,6,1,5,2,2,2,4,3,3,1,0,4
critique,0,0,0,2,3,4,1,2,2,0,0,0
responsabilité,0,0,0,0,1,1,0,0,0,1,2,0
participer,0,0,1,0,0,1,1,5,2,1,0,1
États-Unis,0,0,0,8,22,0,11,3,2,0,4,0
dernier,0,0,1,2,5,7,1,5,4,0,1,8
source,0,1,0,1,4,3,1,4,5,13,1,5
industriel,1,0,3,2,1,13,1,18,3,0,7,0
technologique,0,2,2,3,2,1,1,4,2,0,8,5
accès,0,0,2,0,0,1,0,0,21,0,11,0
prise,0,0,0,1,4,4,0,1,4,2,0,6
