"lemmes","EMC_2015","EMC_2025","Geo_2015","Geo_2025","Hist_2015","Hist_2025"
"le",289,7597,2619,2234,3462,2697
"de",176,5009,1679,1462,2176,1622
"du",76,2013,1036,829,1169,798
"et",48,2167,601,749,905,698
"un",53,1209,472,405,555,433
"à",55,1259,496,404,444,361
"être",44,936,333,317,469,424
"en",35,913,376,323,365,398
"@card@",56,571,264,75,501,423
"dans",18,608,266,213,298,261
"au",23,626,242,229,279,245
"ce",42,688,208,178,199,205
"(",25,330,218,200,354,188
")",25,330,216,200,353,188
"sur",20,650,166,124,182,129
"par",11,402,176,132,246,159
"que",48,445,128,97,203,174
"pouvoir",21,479,97,126,173,154
":",40,249,196,95,239,205
"se",14,382,140,118,188,182
"pour",29,463,144,82,175,96
"qui",16,330,130,92,255,156
"«",22,448,56,71,121,222
"»",23,448,57,71,120,221
"ou",11,403,156,165,142,63
"il",28,406,65,61,127,103
"son",13,286,69,59,202,100
"élève",23,419,19,72,36,51
"avec",17,238,54,87,103,91
"permettre",5,252,40,93,51,101
"leur",6,248,83,79,79,33
"thème",0,47,65,137,86,179
"avoir",16,148,64,55,83,108
"plus",12,115,108,66,92,69
"liberté",12,414,1,0,14,15
"faire",21,200,41,42,79,71
"étude",0,116,106,92,76,59
"ne",13,127,50,41,132,86
"comme",2,207,50,38,76,67
"elle",7,150,58,39,83,62
"/",6,31,150,27,172,6
"entre",7,136,74,55,58,58
"politique",0,145,31,38,102,70
"droit",21,297,3,0,20,27
"?",53,106,35,69,20,69
"on",11,49,70,50,70,91
"pas",11,96,35,38,89,60
"question",12,133,44,47,35,52
"mais",6,113,57,40,46,61
"tout",6,133,42,30,62,39
"autre",13,165,52,23,40,16
"grand",7,29,82,76,72,42
"celui",2,112,29,40,68,57
"professeur",2,250,8,19,19,2
"monde",2,29,90,57,40,76
"société",1,109,44,39,44,55
"mettre",3,103,46,47,43,48
"exemple",9,66,70,45,62,37
"expression",1,260,5,1,16,2
"devoir",12,125,46,32,32,31
"représentation",1,237,3,4,24,5
"développement",0,17,122,85,16,10
"siècle",0,37,5,3,118,87
"classe",9,129,9,47,5,51
"espace",0,12,60,133,24,20
"territoire",0,13,67,153,8,8
"comprendre",3,132,13,36,23,39
"aborder",4,81,22,40,30,64
"premier",1,85,18,38,37,60
"programme",1,74,45,31,56,31
"différent",0,112,30,41,23,31
"pays",0,14,166,41,5,9
"aussi",4,105,15,34,31,41
"la|le",4,97,27,16,49,36
"France",0,54,26,38,46,62
"ainsi",1,93,36,28,24,42
"mondial",1,5,93,67,16,34
"échelle",0,46,68,94,0,6
"temps",4,86,26,8,65,24
"social",1,71,30,21,52,35
"nouveau",1,56,27,27,47,52
"histoire",3,41,9,12,114,24
"européen",1,20,18,61,45,56
"lien",2,97,19,42,17,24
"travail",5,137,11,13,17,15
"démocratie",3,167,0,1,2,24
"loi",7,154,1,0,10,25
"français",1,62,16,36,38,41
"mondialisation",0,2,102,75,3,11
"culture",0,116,17,9,29,15
"national",1,95,22,19,34,14
"-",2,35,56,4,75,11
"deux",5,36,37,21,46,35
"cas",1,21,87,56,6,8
"discrimination",1,174,0,1,0,0
"ressource",4,74,34,50,4,9
"même",8,42,30,12,51,31
"égalité",3,155,3,2,3,7
"œuvre",1,9,18,20,110,14
"également",0,111,24,12,8,15
"partir",5,49,24,15,35,41
"travailler",1,129,2,16,5,15
"cadre",2,90,22,18,12,22
"vie",0,67,22,16,47,13
"notion",6,104,5,25,11,14
"notamment",2,70,12,32,36,10
"mise",2,37,49,25,28,18
"guerre",0,5,1,1,64,87
"Europe",0,2,18,18,59,60
"personne",7,130,4,9,3,4
"place",1,47,12,19,31,41
"citoyen",0,118,2,15,4,12
"république",2,65,1,1,27,53
"situation",3,82,34,12,9,7
"économique",0,14,42,42,17,29
"quel",4,28,16,41,11,42
"forme",1,91,18,13,15,4
"choisir",3,43,31,25,31,8
"choix",1,26,46,39,18,9
"art",0,6,6,8,110,8
"dont",0,53,21,14,33,17
"principe",2,109,1,3,12,10
"femme",1,84,7,2,7,36
"possible",7,54,15,23,25,12
"contre",2,109,4,4,9,8
"débat",14,76,16,8,8,13
"lieu",1,27,22,27,34,23
"site",7,54,32,2,34,4
"action",1,99,7,4,17,3
"donner",5,56,16,13,23,18
"comment",1,47,22,24,4,32
"puissance",0,5,45,22,30,28
"prendre",5,53,20,10,30,12
"groupe",7,91,11,2,11,7
"enjeu",0,62,24,24,8,10
"rôle",0,62,20,9,19,17
"partie",1,33,23,8,49,11
"compétence",2,80,4,16,0,23
"réflexion",1,103,2,4,11,4
"si",4,43,14,14,30,19
"homme",2,63,15,5,20,17
"étudier",0,45,10,33,18,16
"agir",2,61,22,9,14,13
"ensemble",2,47,18,23,12,19
"population",0,25,45,30,8,13
"éducation",3,71,27,7,4,8
"séquence",4,111,2,1,0,2
"violence",2,98,0,0,13,5
"ville",0,1,37,50,22,7
"certain",5,40,21,26,11,14
"inégalité",0,29,40,41,5,0
"sans",1,22,18,16,37,20
"proposer",3,80,13,8,7,3
"révolution",0,17,1,5,58,33
"développer",0,50,31,12,10,10
"année",1,28,13,2,29,40
"États",1,7,48,30,12,14
"montrer",1,25,20,26,15,23
"lier",1,43,22,23,8,12
"opinion",1,100,2,0,5,1
"autour",3,56,12,12,17,9
"problématique",0,29,32,15,19,13
"idée",3,46,11,2,27,19
"parcours",0,46,0,29,5,27
"presse",1,81,7,1,8,9
"bien",4,20,16,22,19,25
"général",3,40,11,10,21,21
"appuyer",0,63,11,7,11,14
"travers",1,56,14,8,24,3
"acteur",0,19,33,28,13,12
"engagement",2,79,0,8,13,3
"fait",0,46,7,12,23,16
"valeur",8,71,2,4,7,12
"lui",9,43,11,2,19,19
"information",0,78,11,10,1,3
"approche",0,14,25,22,27,14
"relation",1,21,8,17,41,14
"lequel",1,34,17,15,18,17
"réseau",1,50,21,25,5,0
"second",0,47,5,10,11,29
"carte",0,5,18,34,39,5
"évolution",0,43,8,15,12,22
"point",3,38,11,14,16,18
"construire",0,37,5,20,20,17
"international",2,27,29,15,9,16
"risque",0,11,43,39,3,1
"poser",2,46,7,21,6,15
"définir",0,81,3,3,8,2
"racisme",3,91,0,0,1,1
"géographie",0,5,54,26,1,9
"diversité",0,65,9,9,7,5
"représenter",0,77,7,3,6,2
"fort",1,22,18,29,6,18
"humain",1,30,31,26,4,2
"porter",1,51,16,11,9,5
"majeur",0,14,27,30,6,16
"représentant",0,87,0,1,4,1
"où",1,27,17,10,15,22
"°",1,24,30,0,37,0
"construction",1,33,6,17,19,16
"urbain",0,0,20,45,19,8
"pratique",0,24,13,28,11,16
"quelque",5,5,20,23,31,7
"effet",0,20,31,26,3,11
"pédagogique",1,74,4,0,12,0
"rapport",0,34,12,5,26,13
"dimension",0,41,9,15,22,3
"culturel",0,8,28,14,20,19
"projet",2,47,7,9,14,10
"identifier",0,55,11,14,5,3
"alors",1,35,10,7,16,18
"terme",1,34,11,18,4,19
"identité",2,76,3,3,3,0
"sous",0,26,17,10,20,13
"sein",0,35,19,13,9,10
"respect",5,78,2,0,1,0
"métropole",0,3,43,36,2,1
"principal",1,23,9,31,7,13
"crise",0,11,5,7,25,36
"présenter",5,44,3,6,18,8
"selon",1,37,23,10,11,1
"État",0,28,14,4,19,18
"objectif",1,66,6,6,4,0
"démocratique",0,66,1,2,0,14
"harcèlement",0,83,0,0,0,0
"démarche",0,43,13,18,1,7
"http",0,0,38,0,44,0
"collège",2,71,3,2,3,1
"séance",5,76,0,0,1,0
"non",7,29,16,9,9,11
"y",1,25,16,10,15,14
"important",2,44,12,5,5,13
"capacité",1,37,15,18,9,1
"heure",0,72,6,0,2,1
"encore",0,29,16,14,5,16
"période",1,8,0,1,31,39
"local",0,16,19,24,8,13
"dynamique",0,2,19,41,7,11
"nombreux",0,21,12,9,23,14
"entrée",1,38,7,8,7,18
"document",0,23,5,13,28,10
"Afrique",0,0,21,20,28,10
"règle",2,71,2,1,3,0
"article",1,68,1,1,3,4
"religieux",0,11,7,1,35,24
"très",1,12,24,17,16,7
"aller",5,4,26,2,36,4
"fin",2,20,10,4,22,19
"souligner",1,39,15,13,5,4
"proposition",2,74,0,0,1,0
"enseignement",2,27,4,22,2,20
"constituer",0,27,17,12,10,10
"contexte",0,16,15,8,31,6
"depuis",0,14,13,9,19,21
"chacun",1,47,1,5,20,2
"consacrer",0,16,21,1,29,8
"région",0,7,31,30,4,3
"n",1,24,15,0,35,0
"croissance",0,0,22,38,2,13
"organisation",0,15,21,16,20,3
"durable",0,5,27,32,1,8
"production",5,26,23,5,8,6
"fois",0,17,12,7,16,21
"cela",1,47,4,5,8,8
"particulier",0,33,13,10,5,12
"élection",0,60,0,0,2,11
"connaître",3,34,6,6,8,15
"pourquoi",11,32,0,14,5,10
"sens|sen",2,25,5,6,31,2
"moins",0,27,11,13,11,9
"vote",1,43,0,0,2,25
"occasion",0,22,1,31,11,5
"part",0,14,19,10,20,7
"caractère",0,51,4,4,7,4
"lutte",0,56,1,3,5,5
"trois",0,15,12,5,27,10
"afin",0,51,3,10,4,1
"voir",1,30,3,1,14,20
"mode",0,32,12,14,7,3
"collectif",4,50,2,2,5,5
"publique",1,46,6,6,8,1
"manière",0,16,10,17,7,18
"façon",1,61,2,0,3,1
"amener",0,51,6,6,2,3
"pauvreté",0,0,48,19,0,1
"limite",0,57,1,3,0,7
"fr",0,3,27,0,37,0
"organiser",0,43,11,3,6,4
"fondamental",2,48,4,2,3,8
"définition",0,59,2,2,3,1
"plusieurs",0,21,9,21,10,6
"donc",0,31,6,5,17,7
"réfléchir",1,53,1,4,5,2
"réaliser",0,38,7,8,7,6
"face",0,24,9,15,9,9
"perspective",0,6,27,18,9,5
"condition",1,21,13,9,10,11
"troisième",0,25,7,4,15,14
"texte",2,33,0,2,24,4
"interroger",0,35,7,13,6,4
"activité",0,19,19,12,12,3
"démographique",0,1,23,38,0,3
"médias",0,60,4,1,0,0
"vers",0,8,18,9,13,16
"éviter",0,9,16,12,18,9
"association",1,49,5,2,3,4
"tel",3,22,5,4,22,8
"image",0,18,8,6,27,5
"universel",0,40,4,2,3,15
"finalité",0,62,0,1,1,0
"autrui",1,62,0,0,1,0
"moyen",0,17,12,9,18,7
"régime",0,18,0,0,24,21
"rendre",0,17,5,8,22,11
"devenir",0,11,11,5,17,19
"origine",0,24,13,5,14,7
"spatial",0,2,17,41,0,3
"analyser",0,36,3,13,2,9
"notre",1,44,1,3,0,14
"conflit",0,2,9,9,10,32
"Histoire",4,2,2,0,50,4
"aujourd'hui",1,28,11,10,7,5
"flux",0,2,34,25,0,0
"conduire",0,22,17,10,5,7
"www",0,0,22,0,39,0
"objet",3,39,4,3,8,4
"cur",0,35,3,7,9,6
"ordre",0,13,6,2,25,14
"conquête",0,24,3,1,24,8
"exprimer",2,47,1,4,5,1
"global",1,4,13,31,6,5
"analyse",0,22,16,18,1,3
"différence",1,50,1,3,3,2
"support",0,12,3,0,43,1
"particulièrement",3,15,13,15,5,8
"régional",0,3,20,33,1,2
"évidence",1,21,15,14,4,4
"empire",0,2,1,0,17,39
"expliquer",1,36,3,4,7,8
"pauvre",0,0,55,4,0,0
"vivre",2,34,3,6,10,4
"suffrage",0,42,0,0,2,15
"loin",5,1,22,1,28,1
"engager",0,45,3,2,7,1
"intérêt",6,26,3,4,14,5
"mobilité",0,2,12,44,0,0
"aménagement",0,2,12,43,1,0
"niveau",0,19,25,10,1,3
"stéréotype",0,57,0,0,1,0
"essentiel",0,22,19,4,10,2
"documentation",0,1,25,0,30,1
"Louis",0,1,0,0,37,19
"justice",5,42,1,3,4,2
"mener",0,40,2,6,3,6
"dignité",1,55,0,0,0,1
"mobiliser",0,33,7,13,1,2
"système",0,8,14,7,18,9
"changement",0,6,4,36,4,6
"individu",0,39,1,2,9,5
"parmi",0,13,13,9,15,6
"nombre",0,21,19,9,4,3
"santé",0,16,33,7,0,0
"respecter",2,50,2,1,1,0
"%",0,0,29,3,21,2
"inviter",1,31,8,5,8,2
"civique",1,36,5,10,2,1
"avant",0,31,3,2,8,11
"connaissance",2,34,7,2,4,5
"maritime",0,0,10,25,8,11
"XIXe",0,17,1,1,15,20
"mesure",0,30,12,2,5,5
"la",0,32,1,2,14,5
"utiliser",2,26,7,6,7,6
"nécessaire",0,37,4,7,3,3
"domaine",3,18,8,11,11,3
"union",0,6,8,33,1,6
"école",8,27,7,0,5,7
"colonial",0,1,0,1,24,28
"jugement",0,54,0,0,0,0
"échange",0,8,8,11,15,11
"aspect",1,9,10,7,12,14
"marquer",0,2,10,7,11,23
"affaire",0,26,6,4,11,6
"élément",0,29,13,4,5,2
"souvent",2,10,13,10,8,10
"territorial",0,6,8,29,8,2
"chaque",2,31,5,4,8,3
"exercice",2,42,1,0,3,5
"antisémitisme",0,52,0,0,1,0
"sexuel",0,53,0,0,0,0
"concret",0,14,5,12,14,7
"puis",2,21,0,2,21,6
"nation",1,18,12,1,12,8
"individuel",2,35,3,4,4,4
"conscience",3,36,4,2,4,3
"importance",2,25,6,9,2,8
"savoir",1,28,6,1,10,5
"dossier",0,26,14,0,11,0
"roi",0,1,0,0,30,20
"historique",1,11,4,7,21,7
"ensuite",0,31,2,1,5,12
"traite",0,1,0,0,27,23
"traiter",1,16,11,9,4,9
"critique",0,35,5,1,5,4
"responsabilité",2,43,1,2,2,0
"participer",3,34,2,2,3,6
"États-Unis",0,0,24,15,0,11
"dernier",2,12,9,3,8,15
"source",0,11,9,2,17,10
"industriel",0,0,5,11,13,20
"technologique",0,19,4,11,3,12
"accès",0,14,21,13,1,0
"prise",0,27,8,0,6,8
"établissement",0,44,3,1,0,1
"numérique",1,38,2,4,0,4
"évoquer",1,13,7,9,4,14
"photographique",0,0,23,0,25,0
"peuple",0,34,0,0,9,5
"enfin",1,30,2,1,9,5
"mouvement",1,8,12,3,12,12
"environnement",0,15,19,12,1,1
