  ;facteur;NA;NA;
le;0.942;0.051;0.007
de;0.573;0.354;0.073
du;0.163;0.833;0.004
et;0.005;0.321;0.675
un;0.095;0.833;0.072
à;0.851;0.083;0.066
être;0.646;0.328;0.025
en;0.081;0.364;0.555
@card@;0.854;0.017;0.129
dans;0.036;0;0.964
au;0.235;0.723;0.043
ce;0.258;0.231;0.511
sur;0.074;0.866;0.06
par;0.442;0.546;0.011
que;0.925;0.006;0.068
pouvoir;0.391;0.499;0.11
se;0.597;0.189;0.214
pour;0.058;0.932;0.01
qui;0.85;0.131;0.018
ou;0.714;0.09;0.196
il;0.966;0.033;0.002
son;0.774;0.099;0.127
élève;0.087;0.717;0.196
avec;0.113;0.596;0.291
permettre;0.018;0.98;0.002
leur;0.608;0.22;0.173
thème;0;0.991;0.009
avoir;0.311;0.399;0.29
plus;0.251;0.472;0.277
liberté;0.908;0.065;0.027
faire;0.848;0.152;0
étude;0.961;0.037;0.001
ne;0.962;0.013;0.025
comme;0.881;0.015;0.104
elle;0.791;0.14;0.07
entre;0.568;0.004;0.428
politique;0.913;0.008;0.078
droit;0.79;0.117;0.093
on;0.097;0.236;0.667
pas;0.901;0.001;0.098
question;0.239;0.617;0.144
mais;0.017;0.146;0.836
tout;0.549;0.445;0.007
autre;0.177;0.772;0.051
grand;0.808;0.124;0.068
celui;0.69;0.22;0.09
professeur;0.104;0.023;0.873
monde;0.312;0.046;0.642
société;0.001;0.545;0.454
mettre;0.409;0.516;0.075
exemple;0.324;0.642;0.034
expression;0.367;0.512;0.122
devoir;0.638;0.049;0.313
représentation;0.517;0.177;0.306
développement;0.907;0.072;0.021
siècle;0.992;0.006;0.002
classe;0.045;0.955;0.001
espace;0.734;0.082;0.183
territoire;0.785;0.064;0.151
comprendre;0;0.976;0.023
aborder;0.032;0.916;0.053
premier;0.125;0.87;0.005
programme;0.015;0.97;0.015
différent;0.57;0.423;0.007
pays;0.509;0.24;0.251
aussi;0.047;0.92;0.033
la|le;0.93;0.046;0.025
France;0.231;0.749;0.02
ainsi;0.065;0.327;0.608
mondial;0.889;0.005;0.106
échelle;0.962;0.011;0.028
temps;0.598;0.373;0.028
social;0.886;0.114;0
nouveau;0.604;0.329;0.067
histoire;0.59;0.158;0.253
européen;0;0.824;0.176
lien;0.415;0.454;0.131
travail;0.269;0.614;0.118
démocratie;0.231;0.51;0.259
loi;0.51;0.304;0.186
français;0.102;0.77;0.128
mondialisation;0.942;0.028;0.03
culture;0.539;0.457;0.004
national;0.019;0.601;0.38
deux;0.441;0.294;0.265
cas;0.887;0.066;0.047
discrimination;0.418;0.214;0.368
ressource;0.93;0.037;0.034
même;0.694;0.28;0.026
égalité;0.179;0.385;0.436
œuvre;0.378;0.27;0.351
également;0.404;0.007;0.59
partir;0.592;0.106;0.302
travailler;0.024;0.939;0.038
cadre;0.313;0.242;0.445
vie;0.215;0.528;0.257
notion;0.137;0.567;0.296
notamment;0.012;0;0.987
mise;0.473;0.378;0.149
guerre;0.793;0.156;0.05
Europe;0.866;0.118;0.016
personne;0.537;0.306;0.157
place;0.477;0.503;0.02
citoyen;0.068;0.865;0.067
république;0.607;0.272;0.121
situation;0.485;0.276;0.24
économique;0.866;0.088;0.046
quel;0.09;0.908;0.002
forme;0.459;0.499;0.042
choisir;0.345;0.511;0.143
choix;0.933;0.067;0.001
art;0.454;0.241;0.305
dont;0.355;0.598;0.047
principe;0.9;0.08;0.02
femme;0.231;0.375;0.394
possible;0.104;0;0.896
contre;0.906;0.093;0.001
débat;0.149;0;0.85
lieu;0;0.039;0.96
site;0.013;0.968;0.019
action;0.229;0.564;0.208
donner;0.967;0.015;0.018
comment;0.179;0.552;0.269
puissance;0.198;0.233;0.57
prendre;0.18;0.803;0.017
groupe;0.114;0.567;0.32
enjeu;0.995;0.003;0.002
rôle;0.066;0.218;0.716
partie;0.29;0.637;0.074
compétence;0.015;0.936;0.049
réflexion;0.496;0.042;0.463
si;0.826;0.016;0.158
homme;0.582;0.095;0.323
étudier;0.206;0.368;0.426
agir;0.121;0.281;0.598
ensemble;0.542;0.452;0.006
population;0.873;0.03;0.097
éducation;0.377;0.167;0.457
séquence;0.172;0.133;0.695
violence;0.86;0.045;0.095
ville;0.838;0.003;0.159
certain;0.892;0.101;0.007
inégalité;0.974;0.015;0.011
sans;0.646;0.16;0.194
proposer;0.664;0.32;0.016
révolution;0.941;0;0.059
développer;0.458;0.221;0.32
année;0.692;0.076;0.231
États;0.828;0.065;0.108
montrer;0.427;0.567;0.006
lier;0.96;0.034;0.006
opinion;0.413;0.561;0.025
autour;0.017;0.32;0.663
problématique;0.362;0.414;0.224
idée;0.914;0.051;0.035
parcours;0.023;0.944;0.033
presse;0.438;0.015;0.546
bien;0.012;0.985;0.003
général;0.8;0.156;0.044
appuyer;0.145;0.126;0.729
travers;0.03;0.784;0.185
acteur;0.974;0.016;0.01
engagement;0.114;0.001;0.885
fait;0.675;0.074;0.251
valeur;0.428;0.514;0.058
lui;0.755;0.001;0.244
information;0.984;0;0.016
approche;0.418;0.409;0.173
relation;0.386;0.042;0.572
lequel;0.192;0.332;0.476
réseau;0.941;0.008;0.051
second;0.209;0.665;0.126
carte;0.073;0.074;0.853
évolution;0.032;0.948;0.02
point;0.102;0.897;0.001
construire;0.042;0.497;0.461
international;0.511;0.018;0.471
risque;0.979;0.021;0
poser;0.223;0.727;0.05
définir;0.217;0.347;0.436
