lemmes,Geo_2015,Geo_2025,Hist_2015,Hist_2025
le,2619,2234,3462,2697
de,1679,1462,2176,1622
du,1036,829,1169,798
et,601,749,905,698
un,472,405,555,433
à,496,404,444,361
être,333,317,469,424
en,376,323,365,398
@card@,264,75,501,423
dans,266,213,298,261
au,242,229,279,245
ce,208,178,199,205
sur,166,124,182,129
par,176,132,246,159
que,128,97,203,174
pouvoir,97,126,173,154
se,140,118,188,182
pour,144,82,175,96
qui,130,92,255,156
ou,156,165,142,63
il,65,61,127,103
son,69,59,202,100
élève,19,72,36,51
avec,54,87,103,91
permettre,40,93,51,101
leur,83,79,79,33
thème,65,137,86,179
avoir,64,55,83,108
plus,108,66,92,69
liberté,1,0,14,15
faire,41,42,79,71
étude,106,92,76,59
ne,50,41,132,86
comme,50,38,76,67
elle,58,39,83,62
entre,74,55,58,58
politique,31,38,102,70
droit,3,0,20,27
on,70,50,70,91
pas,35,38,89,60
question,44,47,35,52
mais,57,40,46,61
tout,42,30,62,39
autre,52,23,40,16
grand,82,76,72,42
celui,29,40,68,57
professeur,8,19,19,2
monde,90,57,40,76
société,44,39,44,55
mettre,46,47,43,48
exemple,70,45,62,37
expression,5,1,16,2
devoir,46,32,32,31
représentation,3,4,24,5
développement,122,85,16,10
siècle,5,3,118,87
classe,9,47,5,51
espace,60,133,24,20
territoire,67,153,8,8
comprendre,13,36,23,39
aborder,22,40,30,64
premier,18,38,37,60
programme,45,31,56,31
différent,30,41,23,31
pays,166,41,5,9
aussi,15,34,31,41
la|le,27,16,49,36
France,26,38,46,62
ainsi,36,28,24,42
mondial,93,67,16,34
échelle,68,94,0,6
temps,26,8,65,24
social,30,21,52,35
nouveau,27,27,47,52
histoire,9,12,114,24
européen,18,61,45,56
lien,19,42,17,24
travail,11,13,17,15
démocratie,0,1,2,24
loi,1,0,10,25
français,16,36,38,41
mondialisation,102,75,3,11
culture,17,9,29,15
national,22,19,34,14
deux,37,21,46,35
cas,87,56,6,8
discrimination,0,1,0,0
ressource,34,50,4,9
même,30,12,51,31
égalité,3,2,3,7
œuvre,18,20,110,14
également,24,12,8,15
partir,24,15,35,41
travailler,2,16,5,15
cadre,22,18,12,22
vie,22,16,47,13
notion,5,25,11,14
notamment,12,32,36,10
mise,49,25,28,18
guerre,1,1,64,87
Europe,18,18,59,60
personne,4,9,3,4
place,12,19,31,41
citoyen,2,15,4,12
république,1,1,27,53
situation,34,12,9,7
économique,42,42,17,29
quel,16,41,11,42
forme,18,13,15,4
choisir,31,25,31,8
choix,46,39,18,9
art,6,8,110,8
dont,21,14,33,17
principe,1,3,12,10
femme,7,2,7,36
possible,15,23,25,12
contre,4,4,9,8
débat,16,8,8,13
lieu,22,27,34,23
site,32,2,34,4
action,7,4,17,3
donner,16,13,23,18
comment,22,24,4,32
puissance,45,22,30,28
prendre,20,10,30,12
groupe,11,2,11,7
enjeu,24,24,8,10
rôle,20,9,19,17
partie,23,8,49,11
compétence,4,16,0,23
réflexion,2,4,11,4
si,14,14,30,19
homme,15,5,20,17
étudier,10,33,18,16
agir,22,9,14,13
ensemble,18,23,12,19
population,45,30,8,13
éducation,27,7,4,8
séquence,2,1,0,2
violence,0,0,13,5
ville,37,50,22,7
certain,21,26,11,14
inégalité,40,41,5,0
sans,18,16,37,20
proposer,13,8,7,3
révolution,1,5,58,33
développer,31,12,10,10
année,13,2,29,40
États,48,30,12,14
montrer,20,26,15,23
lier,22,23,8,12
opinion,2,0,5,1
autour,12,12,17,9
problématique,32,15,19,13
idée,11,2,27,19
parcours,0,29,5,27
presse,7,1,8,9
bien,16,22,19,25
général,11,10,21,21
appuyer,11,7,11,14
travers,14,8,24,3
acteur,33,28,13,12
engagement,0,8,13,3
fait,7,12,23,16
valeur,2,4,7,12
lui,11,2,19,19
information,11,10,1,3
approche,25,22,27,14
relation,8,17,41,14
lequel,17,15,18,17
réseau,21,25,5,0
second,5,10,11,29
carte,18,34,39,5
évolution,8,15,12,22
point,11,14,16,18
construire,5,20,20,17
international,29,15,9,16
risque,43,39,3,1
poser,7,21,6,15
définir,3,3,8,2
racisme,0,0,1,1
géographie,54,26,1,9
diversité,9,9,7,5
représenter,7,3,6,2
fort,18,29,6,18
humain,31,26,4,2
porter,16,11,9,5
majeur,27,30,6,16
représentant,0,1,4,1
où,17,10,15,22
construction,6,17,19,16
urbain,20,45,19,8
pratique,13,28,11,16
quelque,20,23,31,7
effet,31,26,3,11
pédagogique,4,0,12,0
rapport,12,5,26,13
dimension,9,15,22,3
culturel,28,14,20,19
projet,7,9,14,10
identifier,11,14,5,3
alors,10,7,16,18
terme,11,18,4,19
identité,3,3,3,0
sous,17,10,20,13
sein,19,13,9,10
respect,2,0,1,0
métropole,43,36,2,1
principal,9,31,7,13
crise,5,7,25,36
présenter,3,6,18,8
selon,23,10,11,1
État,14,4,19,18
objectif,6,6,4,0
démocratique,1,2,0,14
démarche,13,18,1,7
http,38,0,44,0
collège,3,2,3,1
séance,0,0,1,0
non,16,9,9,11
y,16,10,15,14
important,12,5,5,13
capacité,15,18,9,1
heure,6,0,2,1
encore,16,14,5,16
période,0,1,31,39
local,19,24,8,13
dynamique,19,41,7,11
nombreux,12,9,23,14
entrée,7,8,7,18
document,5,13,28,10
Afrique,21,20,28,10
règle,2,1,3,0
article,1,1,3,4
religieux,7,1,35,24
très,24,17,16,7
aller,26,2,36,4
fin,10,4,22,19
souligner,15,13,5,4
proposition,0,0,1,0
enseignement,4,22,2,20
constituer,17,12,10,10
contexte,15,8,31,6
depuis,13,9,19,21
chacun,1,5,20,2
consacrer,21,1,29,8
région,31,30,4,3
n,15,0,35,0
croissance,22,38,2,13
organisation,21,16,20,3
durable,27,32,1,8
production,23,5,8,6
fois,12,7,16,21
cela,4,5,8,8
particulier,13,10,5,12
élection,0,0,2,11
connaître,6,6,8,15
pourquoi,0,14,5,10
sens|sen,5,6,31,2
moins,11,13,11,9
vote,0,0,2,25
occasion,1,31,11,5
part,19,10,20,7
caractère,4,4,7,4
lutte,1,3,5,5
trois,12,5,27,10
afin,3,10,4,1
voir,3,1,14,20
mode,12,14,7,3
collectif,2,2,5,5
publique,6,6,8,1
manière,10,17,7,18
façon,2,0,3,1
amener,6,6,2,3
pauvreté,48,19,0,1
limite,1,3,0,7
fr,27,0,37,0
organiser,11,3,6,4
fondamental,4,2,3,8
définition,2,2,3,1
plusieurs,9,21,10,6
donc,6,5,17,7
réfléchir,1,4,5,2
réaliser,7,8,7,6
face,9,15,9,9
perspective,27,18,9,5
condition,13,9,10,11
troisième,7,4,15,14
texte,0,2,24,4
interroger,7,13,6,4
activité,19,12,12,3
démographique,23,38,0,3
médias,4,1,0,0
vers,18,9,13,16
éviter,16,12,18,9
association,5,2,3,4
tel,5,4,22,8
image,8,6,27,5
universel,4,2,3,15
finalité,0,1,1,0
autrui,0,0,1,0
moyen,12,9,18,7
régime,0,0,24,21
rendre,5,8,22,11
devenir,11,5,17,19
origine,13,5,14,7
spatial,17,41,0,3
analyser,3,13,2,9
notre,1,3,0,14
conflit,9,9,10,32
Histoire,2,0,50,4
aujourd'hui,11,10,7,5
flux,34,25,0,0
conduire,17,10,5,7
www,22,0,39,0
objet,4,3,8,4
cur,3,7,9,6
ordre,6,2,25,14
conquête,3,1,24,8
exprimer,1,4,5,1
global,13,31,6,5
analyse,16,18,1,3
différence,1,3,3,2
support,3,0,43,1
particulièrement,13,15,5,8
régional,20,33,1,2
évidence,15,14,4,4
empire,1,0,17,39
expliquer,3,4,7,8
pauvre,55,4,0,0
vivre,3,6,10,4
suffrage,0,0,2,15
loin,22,1,28,1
engager,3,2,7,1
intérêt,3,4,14,5
mobilité,12,44,0,0
aménagement,12,43,1,0
niveau,25,10,1,3
stéréotype,0,0,1,0
essentiel,19,4,10,2
documentation,25,0,30,1
Louis,0,0,37,19
justice,1,3,4,2
mener,2,6,3,6
dignité,0,0,0,1
mobiliser,7,13,1,2
système,14,7,18,9
changement,4,36,4,6
individu,1,2,9,5
parmi,13,9,15,6
nombre,19,9,4,3
santé,33,7,0,0
respecter,2,1,1,0
%,29,3,21,2
inviter,8,5,8,2
civique,5,10,2,1
avant,3,2,8,11
connaissance,7,2,4,5
maritime,10,25,8,11
XIXe,1,1,15,20
mesure,12,2,5,5
la,1,2,14,5
utiliser,7,6,7,6
nécessaire,4,7,3,3
domaine,8,11,11,3
union,8,33,1,6
école,7,0,5,7
colonial,0,1,24,28
échange,8,11,15,11
aspect,10,7,12,14
marquer,10,7,11,23
affaire,6,4,11,6
élément,13,4,5,2
souvent,13,10,8,10
territorial,8,29,8,2
chaque,5,4,8,3
exercice,1,0,3,5
antisémitisme,0,0,1,0
concret,5,12,14,7
puis,0,2,21,6
nation,12,1,12,8
individuel,3,4,4,4
conscience,4,2,4,3
importance,6,9,2,8
savoir,6,1,10,5
dossier,14,0,11,0
roi,0,0,30,20
historique,4,7,21,7
ensuite,2,1,5,12
traite,0,0,27,23
traiter,11,9,4,9
critique,5,1,5,4
responsabilité,1,2,2,0
participer,2,2,3,6
États-Unis,24,15,0,11
dernier,9,3,8,15
source,9,2,17,10
